time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,-3.1400077,0.0,100.0,1,0.0
0.005,0.0233492,1.1207631,-3.1384224,0.0760918,100.0,1,0.0
0.01,0.0350238,1.4121615,3.1356484,-0.3796779,100.0,1,0.0
0.015,0.0408612,1.3534337,3.1356484,-0.2885552,100.0,1,0.0
0.02,0.0642104,2.1493728,3.1356484,-0.2193019,100.0,1,0.0
0.025,0.0817223,2.4740958,-3.1035513,1.944651,100.0,1,0.0
0.03,0.1109089,3.2812666,-3.1003811,1.6301068,100.0,1,0.0
0.035,0.1400954,3.8947164,-3.1098916,0.7823763,100.0,1,0.0
0.04,0.1634446,4.080748,-3.1035513,0.8989388,100.0,1,0.0
0.045,0.1576073,2.8211772,-3.0940408,1.1396982,100.0,1,0.0
0.05,0.1867939,3.5450489,-3.0892858,1.0944116,100.0,1,0.0
0.055,0.1751192,2.1338558,-3.0766053,1.4404182,100.0,1,0.0
0.06,0.1809566,1.9019211,-3.0512442,2.3120486,100.0,1,0.0
0.065,0.1984685,2.2860321,-3.0512442,1.7571569,100.0,1,0.0
0.07,0.1926312,1.4571937,-3.0195431,2.8570914,100.0,1,0.0
0.075,0.2101431,1.9480394,-3.0132029,2.4757223,100.0,1,0.0
0.08,0.2101431,1.4805099,-2.9846715,3.2510519,100.0,1,0.0
0.085,0.2334923,2.2459511,-2.973576,3.0033845,100.0,1,0.0
0.09,0.2451669,2.2673044,-2.9624807,2.8151459,100.0,1,0.0
0.095,0.2510043,2.0033421,-2.9498003,2.7481763,100.0,1,0.0
0.1,0.2685162,2.3631129,-2.9133439,3.8385186,100.0,1,0.0
0.105,0.2743535,2.0761559,-2.8927381,3.9063528,100.0,1,0.0
0.11,0.2918654,2.4184513,-2.8800575,3.5774936,100.0,1,0.0
0.115,0.321052,3.2389771,-2.8610367,3.6318933,100.0,1,0.0
0.12,0.3268893,2.7418141,-2.8594514,2.8363306,100.0,1,0.0
0.125,0.3385639,2.6441602,-2.8182401,4.1337571,100.0,1,0.0
0.13,0.3619131,3.1303246,-2.8166551,3.2177357,100.0,1,0.0
0.135,0.3735877,2.9394281,-2.791294,3.66281,100.0,1,0.0
0.14,0.3910997,3.0745382,-2.7548377,4.5336403,100.0,1,0.0
0.145,0.396937,2.6168391,-2.7580077,3.293406,100.0,1,0.0
