time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,3.1415927,0.0,100.0,1,0.0
0.005,0.0233492,1.1207631,3.1415927,0.0,100.0,1,0.0
0.01,0.0350238,1.4121615,-3.132168,0.4523849,100.0,1,0.0
0.015,0.0350238,1.0732427,-3.1368803,0.1176201,100.0,1,0.0
0.02,0.0408612,1.0958553,-3.1337387,0.2401901,100.0,1,0.0
0.025,0.0233492,-0.0077224,-3.1353094,0.1071508,100.0,1,0.0
0.03,0.0116746,-0.5662507,-3.1305971,0.3076271,100.0,1,0.0
0.035,0.0116746,-0.4303505,-3.1148891,0.9877791,100.0,1,0.0
0.04,0.0408612,1.0738877,-3.1148891,0.7507121,100.0,1,0.0
0.045,0.0466985,1.0963453,-3.1054644,1.022926,100.0,1,0.0
0.05,0.0291865,-0.00735,-3.0803318,1.9837912,100.0,1,0.0
0.055,0.0408612,0.5547957,-3.0991811,0.6029114,100.0,1,0.0
0.06,0.0583731,1.262217,-3.0709068,1.8153789,100.0,1,0.0
0.065,0.0466985,0.3989034,-3.0536282,2.2090642,100.0,1,0.0
0.07,0.0583731,0.8635481,-3.0504865,1.8296875,100.0,1,0.0
0.075,0.0700477,1.2166781,-3.0269246,2.5215363,100.0,1,0.0
0.08,0.0817223,1.4850571,-3.0253536,1.9917727,100.0,1,0.0
0.085,0.1050715,2.249406,-2.9986503,2.7955083,100.0,1,0.0
0.09,0.0933969,1.1491672,-2.9845132,2.8031637,100.0,1,0.0
0.095,0.1167462,1.9941302,-2.9719467,2.7335996,100.0,1,0.0
0.1,0.1284208,2.0759208,-2.9578096,2.756113,100.0,1,0.0
0.105,0.1400954,2.1380813,-2.9483847,2.5470423,100.0,1,0.0
0.11,0.15177,2.1853232,-2.9342474,2.614341,100.0,1,0.0
0.115,0.1692819,2.5014185,-2.9153978,2.8916805,100.0,1,0.0
0.12,0.1926312,3.021841,-2.9044025,2.7254557,100.0,1,0.0
0.125,0.2043058,2.8569805,-2.8776988,3.3531188,100.0,1,0.0
0.13,0.2101431,2.4514958,-2.8635618,3.2269477,100.0,1,0.0
0.135,0.227655,2.7037096,-2.8462829,3.2818679,100.0,1,0.0
0.14,0.2334923,2.33501,-2.8399996,2.7958173,100.0,1,0.0
0.145,0.2451669,2.334989,-2.7991592,4.0851597,100.0,1,0.0
0.15,0.2568416,2.3349738,-2.7991592,3.1047215,100.0,1,0.0
0.155,0.2626789,2.0547699,-2.7865927,2.9627836,100.0,1,0.0
0.16,0.2801908,2.402198,-2.7583184,3.6088817,100.0,1,0.0
0.165,0.3093774,3.2266247,-2.7583184,2.7427501,100.0,1,0.0
0.17,0.321052,3.0126161,-2.7426104,2.8384725,100.0,1,0.0
0.17500000000000002,0.3327266,2.8499696,-2.731615,2.6850178,100.0,1,0.0
0.18,0.3385639,2.4461684,-2.6970574,3.6993775,100.0,1,0.0
0.185,0.3619131,2.9798507,-2.6970574,2.811527,100.0,1,0.0
0.19,0.3735877,2.8250679,-2.6876325,2.5891568,100.0,1,0.0
0.195,0.3852623,2.7074329,-2.6860618,2.0431528,100.0,1,0.0
0.2,0.3910997,2.3378405,-2.6562166,2.9853675,100.0,1,0.0
0.20500000000000002,0.4086116,2.6173303,-2.6483628,2.6458592,100.0,1,0.0
0.21,0.4261235,2.8297438,-2.6420795,2.3124506,100.0,1,0.0
0.215,0.4553101,3.5515594,-2.6279423,2.4360513,100.0,1,0.0
0.22,0.4844966,4.1001396,-2.6200883,2.2283902,100.0,1,0.0
0.225,0.4961712,3.6764874,-2.6138052,1.9951627,100.0,1,0.0
0.23,0.5195205,3.9148948,-2.605951,1.8933263,100.0,1,0.0
0.23500000000000001,0.5370324,3.8158914,-2.591814,2.1175055,100.0,1,0.0
0.24,0.5545443,3.7406489,-2.5949556,1.4585053,100.0,1,0.0
0.245,0.5778935,3.9636559,-2.591814,1.2592629,100.0,1,0.0
0.25,0.6129174,4.6935243,-2.5871014,1.1832437,100.0,1,0.0
0.255,0.6362666,4.6878414,-2.5745351,1.502449,100.0,1,0.0
0.26,0.6537786,4.4033336,-2.5682518,1.4434589,100.0,1,0.0
0.265,0.6712904,4.1871051,-2.5823891,0.4184399,100.0,1,0.0
0.27,0.6946397,4.3029627,-2.5682518,0.9966032,100.0,1,0.0
0.275,0.7121516,4.1108231,-2.5713934,0.6066196,100.0,1,0.0
0.28,0.7296636,3.9647998,-2.5603981,0.9888095,100.0,1,0.0
0.28500000000000003,0.7471755,3.8538193,-2.5666811,0.4499091,100.0,1,0.0
0.29,0.7646874,3.769474,-2.58396,-0.4874568,-100.0,1,0.0
0.295,0.776362,3.425183,-2.5666811,0.4589205,100.0,1,0.0
0.3,0.7997112,3.7239019,-2.5588274,0.7257594,100.0,1,0.0
0.305,0.8230605,3.9509282,-2.5886723,-0.8809828,-100.0,1,0.0
0.31,0.8464097,4.1234683,-2.5886723,-0.669547,-100.0,1,0.0
0.315,0.852247,3.4140274,-2.5933847,-0.7350482,-100.0,1,0.0
0.32,0.8639217,3.1550436,-2.607522,-1.2372254,-100.0,1,0.0
0.325,0.8580843,2.1176416,-2.6138052,-1.2418888,-100.0,1,0.0
0.33,0.8814335,2.7301704,-2.6326546,-1.8486053,-100.0,1,0.0
0.335,0.8989455,2.9155008,-2.6703536,-3.2144913,-100.0,1,0.0
0.34,0.9106201,2.7761635,-2.6892032,-3.3477947,-100.0,1,0.0
0.34500000000000003,0.9222947,2.6702642,-2.7080528,-3.4491052,-100.0,1,0.0
0.35000000000000003,0.9222947,2.0294008,-2.7410395,-4.2046785,-100.0,1,0.0
0.355,0.9222947,1.5423446,-2.785022,-5.3067159,-100.0,1,0.0
0.36,0.928132,1.4523734,-2.8132963,-5.3902702,-100.0,1,0.0
0.365,0.9514812,2.2245664,-2.8462829,-5.679964,-100.0,1,0.0
0.37,0.9806678,3.0916247,-2.8965484,-6.7295188,-100.0,1,0.0
0.375,1.0098543,3.7505891,-2.9405307,-7.225583,-100.0,1,0.0
0.38,1.0390409,4.2514047,-2.9955086,-8.1303815,-100.0,1,0.0
0.385,1.0682274,4.632019,-3.0489158,-8.7426347,-100.0,1,0.0
0.39,1.0857393,4.3609085,-3.0991811,-9.0571374,-100.0,1,0.0
0.395,1.079902,3.0340991,3.1370961,-9.135004,-100.0,1,0.0
0.4,1.0740647,2.0257239,3.0771422,-9.8203916,-100.0,1,0.0
0.405,1.0682274,1.2593587,3.0246825,-9.9815645,-100.0,1,0.0
0.41000000000000003,1.06239,0.6769213,2.9707236,-10.1760158,-100.0,1,0.0
0.41500000000000004,1.0565527,0.2342687,2.906273,-10.8273963,-100.0,1,0.0
0.42,1.0390409,-0.6625243,2.846319,-11.1066207,-100.0,1,0.0
0.425,1.0390409,-0.5035185,2.8013534,-10.5993757,-100.0,1,0.0
0.43,1.0332036,-0.6628655,2.7443971,-10.7894277,-100.0,1,0.0
0.435,1.0215289,-1.0641605,2.6664569,-11.9410963,-100.0,1,0.0
0.44,1.0098543,-1.3691449,2.643974,-10.1544113,-100.0,1,0.0
0.445,1.0040169,-1.3207415,2.5885164,-10.3793172,-100.0,1,0.0
0.45,0.9865051,-1.8443349,2.5450496,-9.9746875,-100.0,1,0.0
0.455,0.9865051,-1.4016945,2.4985854,-9.8110446,-100.0,1,0.0
0.46,0.9806678,-1.3454792,2.4461257,-9.9744606,-100.0,1,0.0
0.465,0.9573185,-2.1433269,2.3966634,-9.9547815,-100.0,1,0.0
0.47000000000000003,0.9456439,-2.1893084,2.3546957,-9.58008,-100.0,1,0.0
0.47500000000000003,0.9398067,-1.9440658,2.3187232,-9.0075454,-100.0,1,0.0
0.48,0.928132,-2.0378727,2.2542726,-9.9393587,-100.0,1,0.0
0.485,0.9164574,-2.1091632,2.2272932,-8.8489265,-100.0,1,0.0
0.49,0.9047828,-2.163347,2.2048103,-7.8043618,-100.0,1,0.0
0.495,0.9047828,-1.6441436,2.1658403,-7.8018746,-100.0,1,0.0
0.5,0.8814335,-2.3703119,2.1403598,-7.1524891,-100.0,1,0.0
0.505,0.8814335,-1.8014371,2.1073853,-7.0186667,-100.0,1,0.0
0.51,0.8755962,-1.6492836,2.0864012,-6.3414268,-100.0,1,0.0
0.515,0.8639217,-1.8138355,2.0459322,-6.7619929,-100.0,1,0.0
0.52,0.852247,-1.9388978,2.0129575,-6.7219014,-100.0,1,0.0
0.525,0.8464097,-1.7537537,1.9919736,-6.1158738,-100.0,1,0.0
0.53,0.8347351,-1.8932328,1.9709897,-5.6552929,-100.0,1,0.0
0.535,0.8230605,-1.9992398,1.9589987,-4.8735861,-100.0,1,0.0
0.54,0.8288978,-1.2392308,1.9245253,-5.3586497,-100.0,1,0.0
0.545,0.8172231,-1.5021983,1.9290218,-3.856744,-100.0,1,0.0
0.55,0.8055485,-1.7020506,1.9050402,-4.082241,-100.0,1,0.0
0.555,0.7938739,-1.8539413,1.8930493,-3.6780667,-100.0,1,0.0
0.56,0.776362,-2.2495667,1.8765621,-3.5867183,-100.0,1,0.0
0.5650000000000001,0.7705247,-1.9898622,1.8810586,-2.5100703,-100.0,1,0.0
0.5700000000000001,0.7646874,-1.7924866,1.8990448,-1.0443168,-100.0,1,0.0
0.5750000000000001,0.7530128,-1.9226698,1.8675689,-2.3045241,-100.0,1,0.0
0.58,0.7646874,-0.9008492,1.8840562,-0.9600451,-100.0,1,0.0
0.585,0.7413382,-1.8054082,1.8660701,-1.5929708,-100.0,1,0.0
0.59,0.7471755,-1.0919188,1.8885527,-0.1314915,-100.0,1,0.0
0.595,0.7355008,-1.3902411,1.887054,-0.1718711,-100.0,1,0.0
0.6,0.7238263,-1.6169632,1.8900517,0.0132645,100.0,1,0.0
0.605,0.7238263,-1.228892,1.9095368,0.9453666,100.0,1,0.0
0.61,0.7238263,-0.933958,1.8990448,0.2148642,100.0,1,0.0
0.615,0.7413382,0.1307633,1.9305206,1.6741342,100.0,1,0.0
0.62,0.7413382,0.0993801,1.9485069,2.1356842,100.0,1,0.0
0.625,0.7238263,-0.7650425,1.9709897,2.7022922,100.0,1,0.0
0.63,0.7121516,-1.141815,1.9949713,3.2048633,100.0,1,0.0
0.635,0.6946397,-1.7083507,2.0099599,3.1551461,100.0,1,0.0
0.64,0.6946397,-1.2983466,2.0534265,4.4843063,100.0,1,0.0
0.645,0.6771278,-1.8273148,2.0669162,4.0555796,100.0,1,0.0
0.65,0.6596158,-2.2293336,2.108884,5.0966982,100.0,1,0.0
0.655,0.6537786,-1.9744821,2.1418588,5.4562773,100.0,1,0.0
0.66,0.6537786,-1.5006064,2.1748335,5.7295575,100.0,1,0.0
0.665,0.6537786,-1.1404608,2.2287921,6.9444789,100.0,1,0.0
0.67,0.6421039,-1.427133,2.2677624,7.148375,100.0,1,0.0
0.675,0.6304293,-1.645004,2.3202221,7.9508314,100.0,1,0.0
0.68,0.6421039,-0.6898202,2.3726818,8.5606985,100.0,1,0.0
0.685,0.6596158,0.316308,2.4086544,8.2328157,100.0,1,0.0
0.6900000000000001,0.6537786,-0.0397945,2.4746038,9.422513,100.0,1,0.0
0.6950000000000001,0.6712904,0.8103276,2.5465486,10.6144561,100.0,1,0.0
0.7000000000000001,0.6712904,0.615849,2.6109993,11.1606225,100.0,1,0.0
0.705,0.7063143,2.1491909,2.6619603,10.9282016,100.0,1,0.0
0.71,0.7063143,1.633385,2.7384016,11.974615,100.0,1,0.0
0.715,0.7121516,1.5215612,2.80585,12.3382291,100.0,1,0.0
0.72,0.7355008,2.2771494,2.895781,13.6937427,100.0,1,0.0
0.725,0.7646874,3.1315877,2.9812156,14.508109,100.0,1,0.0
0.73,0.7821993,3.220581,3.0546593,14.5514583,100.0,1,0.0
0.735,0.7997112,3.288213,3.1340985,14.8721885,100.0,1,0.0
0.74,0.8230605,3.6198046,-3.0677654,15.2062826,100.0,1,0.0
