time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,3.1355454,0.0,100.0,1,0.0
0.005,0.0291865,1.4593271,3.1325218,-0.1511812,100.0,1,0.0
0.01,0.0466985,1.9700916,-3.1353657,0.6515086,100.0,1,0.0
0.015,0.0466985,1.4775686,3.1370573,-0.0495031,100.0,1,0.0
0.02,0.0700477,2.2756381,3.1415927,0.1896445,100.0,1,0.0
0.025,0.0992342,3.1660556,-3.1369225,0.3757405,100.0,1,0.0
0.03,0.1284208,3.8338689,3.1385688,-0.102883,100.0,1,0.0
0.035,0.15177,4.0428628,-3.1166841,1.3194699,100.0,1,0.0
0.04,0.1459327,2.7402818,-3.1057868,1.5344723,100.0,1,0.0
0.045,0.1692819,3.2226734,-3.0948891,1.695736,100.0,1,0.0
0.05,0.1867939,3.2926011,-3.0902187,1.5053211,100.0,1,0.0
0.055,0.1867939,2.4694509,-3.074651,1.9073799,100.0,1,0.0
0.06,0.1984685,2.4358189,-3.0621964,2.0532603,100.0,1,0.0
0.065,0.1984685,1.8268642,-3.0653102,1.3842579,100.0,1,0.0
0.07,0.2159804,2.2457449,-3.0357313,2.5171396,100.0,1,0.0
0.075,0.227655,2.2680392,-3.01705,2.8219192,100.0,1,0.0
0.08,0.2218177,1.409164,-2.9999251,2.9726839,100.0,1,0.0
0.085,0.2451669,2.2243342,-2.9936981,2.5408637,100.0,1,0.0
0.09,0.2743535,3.1275773,-2.9719033,2.9953875,100.0,1,0.0
0.095,0.2801908,2.6375489,-2.9641191,2.6357469,100.0,1,0.0
0.1,0.30354,3.1456229,-2.9283132,3.7671072,100.0,1,0.0
0.105,0.30354,2.3592171,-2.9111883,3.681575,100.0,1,0.0
0.11,0.321052,2.6450095,-2.9065179,2.9947004,100.0,1,0.0
0.115,0.3385639,2.8593538,-2.8753826,3.8027914,100.0,1,0.0
0.12,0.3385639,2.1445152,-2.8675985,3.2412998,100.0,1,0.0
0.125,0.3560758,2.4839816,-2.8411331,3.7542457,100.0,1,0.0
0.13,0.379425,3.0304489,-2.8364627,3.0492033,100.0,1,0.0
0.135,0.396937,3.1484317,-2.8240084,2.9096159,100.0,1,0.0
0.14,0.4086116,2.9450545,-2.7835321,4.2060279,100.0,1,0.0
0.145,0.4319608,3.3762536,-2.7757482,3.5437154,100.0,1,0.0
0.15,0.4611474,3.9915161,-2.7632939,3.2805001,100.0,1,0.0
0.155,0.4786593,3.8692338,-2.7383852,3.7058141,100.0,1,0.0
0.16,0.4903339,3.485656,-2.7368285,2.8571922,100.0,1,0.0
0.165,0.5136832,3.7817049,-2.7088065,3.5439968,100.0,1,0.0
