time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,3.1401002,0.0,100.0,1,0.0
0.005,0.0,0.0,3.1356229,-0.4938421,100.0,1,0.0
0.01,0.0175119,1.9315654,-3.1321253,1.4812269,100.0,1,0.0
0.015,0.0466985,4.0855827,-3.138437,-0.0318453,100.0,1,0.0
0.02,0.075885,5.0516591,-3.1258137,1.3780685,100.0,1,0.0
0.025,0.0992342,4.8410892,-3.1321253,-0.0781118,100.0,1,0.0
0.03,0.0992342,2.1712284,-3.1179242,1.5313553,100.0,1,0.0
0.035,0.0817223,-0.9577691,-3.1068789,1.9051003,100.0,1,0.0
0.04,0.0817223,-0.4295594,-3.1116125,0.3323255,100.0,1,0.0
0.045,0.1109089,3.026618,-3.0974116,1.7154101,100.0,1,0.0
0.05,0.1109089,1.357438,-3.0784769,2.8578617,100.0,1,0.0
0.055,0.1050715,-0.0350448,-3.0690095,2.3260011,100.0,1,0.0
0.06,0.1284208,2.5597035,-3.06112,1.9134243,100.0,1,0.0
0.065,0.1284208,1.1480269,-3.0421853,2.9466712,100.0,1,0.0
0.07,0.1225835,-0.1289657,-3.0421853,1.3215819,100.0,1,0.0
0.075,0.1400954,1.8737244,-3.0169386,3.3774318,100.0,1,0.0
0.08,0.1400954,0.8403654,-2.9964263,3.7772896,100.0,1,0.0
0.085,0.1576073,2.3084685,-2.9869589,2.7383644,100.0,1,0.0
0.09,0.15177,0.3914933,-2.9711799,2.9685821,100.0,1,0.0
0.095,0.1751192,2.7510058,-2.9601345,2.5497229,100.0,1,0.0
0.1,0.1984685,3.8092458,-2.9333103,4.1022639,100.0,1,0.0
0.105,0.2101431,2.9961565,-2.9285764,2.3620035,100.0,1,0.0
0.11,0.227655,3.2753424,-2.9143757,2.6256945,100.0,1,0.0
0.115,0.227655,1.468991,-2.876506,5.3546514,100.0,1,0.0
0.12,0.2451669,2.5904073,-2.876506,2.401561,100.0,1,0.0
0.125,0.2685162,3.7372188,-2.844948,4.5579514,100.0,1,0.0
0.13,0.2685162,1.6761425,-2.8323249,3.4365658,100.0,1,0.0
0.135,0.2801908,2.0394597,-2.8102345,3.9778747,100.0,1,0.0
0.14,0.3093774,4.133974,-2.7786765,5.2649283,100.0,1,0.0
0.145,0.3268893,3.7856535,-2.7818322,2.0132455,100.0,1,0.0
0.15,0.3385639,2.9855754,-2.7692089,2.2952916,100.0,1,0.0
0.155,0.3619131,3.9144501,-2.7439627,3.8140878,100.0,1,0.0
0.16,0.3852623,4.3310503,-2.7234501,3.9731559,100.0,1,0.0
0.165,0.4086116,4.5178956,-2.709249,3.3483488,100.0,1,0.0
0.17,0.4202862,3.313986,-2.6918921,3.4161975,100.0,1,0.0
0.17500000000000002,0.4319608,2.7740356,-2.6745352,3.4466276,100.0,1,0.0
0.18,0.4436355,2.5318648,-2.6682236,2.2419879,100.0,1,0.0
0.185,0.4611474,3.0671043,-2.6177308,6.5748834,100.0,1,0.0
0.19,0.4844966,3.9510192,-2.631932,1.3824466,100.0,1,0.0
0.195,0.5136832,4.9913082,-2.6193089,2.0123522,100.0,1,0.0
0.2,0.5370324,4.8140211,-2.6098413,1.9468164,100.0,1,0.0
0.20500000000000002,0.5662189,5.3783645,-2.5909066,2.9616475,100.0,1,0.0
0.21,0.5837308,4.3437595,-2.5924844,1.1542614,100.0,1,0.0
0.215,0.6012427,3.8797392,-2.5719721,2.7801976,100.0,1,0.0
0.22,0.624592,4.3154892,-2.5609266,2.4652323,100.0,1,0.0
0.225,0.6421039,3.8670598,-2.5451476,2.8460824,100.0,1,0.0
0.23,0.6537786,3.0220894,-2.5719721,-1.6822718,-100.0,1,0.0
0.23500000000000001,0.682965,4.5746765,-2.5372581,3.0744538,100.0,1,0.0
0.24,0.7063143,4.6271686,-2.5199012,3.2933557,100.0,1,0.0
0.245,0.7238263,4.0068483,-2.5293686,0.4328196,100.0,1,0.0
0.25,0.7413382,3.7286345,-2.5120117,2.1085827,100.0,1,0.0
0.255,0.7705247,4.8915686,-2.5072782,1.4678112,100.0,1,0.0
0.26,0.7997112,5.4131445,-2.5057001,0.8323769,100.0,1,0.0
0.265,0.8288978,5.6470713,-2.5057001,0.373321,100.0,1,0.0
0.27,0.852247,5.1081309,-2.508856,-0.1806665,-100.0,1,0.0
0.275,0.8580843,2.934853,-2.4993886,0.9632213,100.0,1,0.0
0.28,0.8639217,1.9601381,-2.5057001,-0.2641446,-100.0,1,0.0
0.28500000000000003,0.8755962,2.1668283,-2.5120117,-0.8146444,-100.0,1,0.0
0.29,0.8814335,1.615679,-2.5183234,-1.0615435,-100.0,1,0.0
0.295,0.8872709,1.3684885,-2.524635,-1.1722778,-100.0,1,0.0
0.3,0.9164574,3.833043,-2.5435698,-2.6142668,-100.0,1,0.0
0.305,0.9398067,4.2945394,-2.5577709,-2.738887,-100.0,1,0.0
0.31,0.9573185,3.8576639,-2.5719721,-2.7947793,-100.0,1,0.0
0.315,0.9631559,2.3740186,-2.5924844,-3.5159699,-100.0,1,0.0
0.32,0.9689932,1.7086038,-2.6129972,-3.8394765,-100.0,1,0.0
0.325,0.9806678,2.0540153,-2.6492888,-5.7249689,-100.0,1,0.0
0.33,1.0098543,4.1405019,-2.6808466,-6.0484738,-100.0,1,0.0
0.335,1.0156916,2.5008716,-2.7076711,-5.6714801,-100.0,1,0.0
0.34,1.0156916,1.1216409,-2.7628974,-8.6351222,-100.0,1,0.0
0.34500000000000003,1.0156916,0.503056,-2.799189,-7.8758158,-100.0,1,0.0
0.35000000000000003,1.0156916,0.2256206,-2.8323249,-7.1871919,-100.0,1,0.0
