episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,nominal,0.0,0.9950174667134897,-29756.098290639253,-14.878049145319626,2000,0,0,0,3.0141664674122284,1.6100678881188573,89.895
2,4000,1,nominal,0.0,0.9900597839154189,-29784.769107666878,-14.89238455383344,2000,0,0,0,3.020344684597413,1.5133270890612056,89.31
3,6000,1,nominal,0.0,0.9851268276634596,-29706.591771395164,-14.853295885697582,2000,0,0,0,2.9992548876917033,1.859912624330982,90.06
4,8000,1,nominal,0.0,0.9802184746334485,-29742.34753191577,-14.871173765957884,2000,0,0,0,3.016890282780509,1.6280048915537022,90.09
5,10000,1,nominal,0.0,0.9753346021163043,-29773.368976118734,-14.886684488059368,2000,0,0,0,3.0166524511573725,1.552074330226373,90.06
6,12000,1,nominal,0.0,0.9704750880149596,-29700.685062483586,-14.850342531241793,2000,0,0,0,2.9980723620148972,1.5720238756824083,89.58
7,14000,1,nominal,0.0,0.9656398108413089,-29677.530222764173,-14.838765111382086,2000,0,0,0,2.99391233031539,1.7372584603832697,90.45
8,16000,1,nominal,0.0,0.9608286497131708,-29739.857640558155,-14.869928820279078,2000,0,0,0,3.0108405181802897,1.5525166095974001,90.375
9,18000,1,nominal,0.0,0.9560414843512669,-29604.362221793228,-14.802181110896614,2000,0,0,0,2.979294749784365,1.7890950742517837,91.11
10,20000,1,nominal,0.0,0.9512781950762133,-29635.530846022764,-14.817765423011382,2000,0,0,0,2.9874481382226885,1.764920709749258,89.775
11,22000,1,nominal,0.0,0.9465386628055303,-29699.9207447117,-14.84996037235585,2000,0,0,0,3.002422180587053,1.654054774324763,89.745
12,24000,1,nominal,0.0,0.9418227690506644,-29571.643775420096,-14.785821887710048,2000,0,0,0,2.9708431839816076,2.0041944982435984,89.265
13,26000,1,nominal,0.0,0.937130395914026,-29694.870817717794,-14.847435408858898,2000,0,0,0,2.996706727851389,1.6645423756949798,90.3
14,28000,1,nominal,0.0,0.9324614260860423,-29795.673399074047,-14.897836699537024,2000,0,0,0,3.0228349093269014,1.505421190900231,87.81
