time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,3.1150317,0.0,-150.0,1,0.0
0.005,0.0,0.0,-3.1399955,1.4079093,30.0,1,0.0
0.01,-0.0116746,-0.5837308,3.1253609,0.164485,-120.0,1,0.0
0.015,-0.0291865,-1.3133944,3.1356904,0.639838,-120.0,1,0.0
0.02,-0.0466985,-1.860642,3.137166,0.5536571,30.0,1,0.0
0.025,-0.0583731,-1.9792123,3.1238853,-0.2487886,-120.0,1,0.0
0.03,-0.0525358,-1.1925437,3.1194584,-0.4079393,-150.0,1,0.0
0.035,-0.0525358,-0.8944078,3.1135559,-0.6010809,-150.0,1,0.0
0.04,-0.0700477,-1.5464022,3.1106047,-0.5983679,-150.0,1,0.0
0.045,-0.1342581,-4.3703212,3.1047022,-0.7439024,30.0,1,0.0
0.05,-0.1400954,-3.5696063,3.0869948,-1.4432941,30.0,1,0.0
0.055,-0.1576073,-3.5528006,3.0604338,-2.4105217,-150.0,1,0.0
0.06,-0.1576073,-2.6646003,3.0678117,-1.4389982,-150.0,1,0.0
0.065,-0.1576073,-1.9984502,3.0545313,-1.7432682,-150.0,1,0.0
0.07,-0.1809566,-2.6662998,3.0442018,-1.8239254,-150.0,1,0.0
0.075,-0.2101431,-3.4590516,3.0368237,-1.7368492,30.0,1,0.0
0.08,-0.2159804,-2.8861546,3.0132138,-2.4831306,-150.0,1,0.0
0.085,-0.2218177,-2.4564812,3.0058357,-2.2312531,-150.0,1,0.0
0.09,-0.227655,-2.1342263,2.9955062,-2.1899142,-150.0,1,0.0
0.095,-0.2451669,-2.4762656,2.9925551,-1.7899929,-150.0,1,0.0
0.1,-0.2626789,-2.7327952,2.9615674,-2.8918817,-150.0,1,0.0
0.105,-0.2685162,-2.3414626,2.9438598,-3.0542905,-150.0,1,0.0
0.11,-0.2860281,-2.6316936,2.9364816,-2.6596229,-150.0,1,0.0
0.115,-0.30354,-2.8493654,2.9069692,-3.4703373,-150.0,1,0.0
0.12,-0.321052,-3.0126209,2.889262,-3.4881205,-150.0,1,0.0
0.125,-0.3327266,-2.8431963,2.8700788,-3.5752482,-150.0,1,0.0
0.13,-0.3502385,-3.0079939,2.8449934,-3.9357085,-150.0,1,0.0
0.135,-0.3735877,-3.4234566,2.8346638,-3.4682555,-150.0,1,0.0
0.14,-0.3910997,-3.4431891,2.7933466,-4.6670527,-150.0,1,0.0
0.145,-0.4086116,-3.457987,2.7830173,-4.0167517,-150.0,1,0.0
0.15,-0.4319608,-3.7609531,2.7564561,-4.3406267,-150.0,1,0.0
0.155,-0.4553101,-3.9881761,2.7594072,-3.1079127,-90.0,1,0.0
0.16,-0.472822,-3.8667287,2.7387485,-3.363871,-90.0,1,0.0
0.165,-0.4903339,-3.7756419,2.7210414,-3.4082589,-150.0,1,0.0
0.17,-0.5136832,-3.9991941,2.7003827,-3.5891308,-150.0,1,0.0
0.17500000000000002,-0.5428697,-4.458723,2.6811995,-3.6510062,-90.0,1,0.0
0.18,-0.5603816,-4.2196373,2.6797239,-2.8120331,30.0,1,0.0
0.185,-0.5603816,-3.1647281,2.6605408,-3.0681829,-90.0,1,0.0
