time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,0.0,0.0,3.1415927,0.0,100.0,1,0.0
0.005,0.0,0.0,-3.135281,0.6962018,100.0,1,0.0
0.01,0.0116746,1.2877101,-3.1368589,0.1382092,100.0,1,0.0
0.015,0.0291865,2.5091035,-3.135281,0.2360241,100.0,1,0.0
0.02,0.0175119,-0.1623772,-3.1305475,0.6279688,100.0,1,0.0
0.025,0.0175119,-0.0728262,-3.1242358,0.9778196,100.0,1,0.0
0.03,0.0058373,-1.3203728,-3.1258137,0.2645148,100.0,1,0.0
0.035,0.0116746,0.0516679,-3.1147685,1.3369224,100.0,1,0.0
0.04,0.0408612,3.2424488,-3.1021451,1.9919609,100.0,1,0.0
0.045,0.0583731,3.3858034,-3.092678,1.9376183,100.0,1,0.0
0.05,0.0525358,0.8746774,-3.0563862,4.8720116,100.0,1,0.0
0.055,0.075885,2.9677133,-3.0563862,2.1850972,100.0,1,0.0
0.06,0.0642104,0.0433094,-3.0406072,2.7204418,100.0,1,0.0
0.065,0.0875596,2.5948448,-3.0327177,2.090331,100.0,1,0.0
0.07,0.0875596,1.1637878,-3.0043158,4.0702376,100.0,1,0.0
0.075,0.0992342,1.8096686,-2.9948484,2.8697517,100.0,1,0.0
0.08,0.0992342,0.8116363,-2.9822252,2.6794347,100.0,1,0.0
0.085,0.1225835,2.9394392,-2.9617123,3.4642903,100.0,1,0.0
0.09,0.1167462,0.6744835,-2.9475114,3.1200964,100.0,1,0.0
0.095,0.1459327,3.5217814,-2.936466,2.6176769,100.0,1,0.0
0.1,0.1692819,4.1549401,-2.9064863,4.4807896,100.0,1,0.0
0.105,0.1692819,1.8634905,-2.934888,-1.12309,-100.0,1,0.0
0.11,0.1809566,2.1234853,-2.8654605,7.1541466,100.0,1,0.0
0.115,0.1867939,1.596238,-2.8512597,4.7749967,100.0,1,0.0
0.12,0.1809566,0.0720578,-2.8323249,4.2300863,100.0,1,0.0
0.125,0.2101431,3.2515926,-2.8039228,5.0299444,100.0,1,0.0
0.13,0.2334923,4.0337605,-2.8228576,0.1674295,100.0,1,0.0
0.135,0.2626789,5.0284161,-2.799189,2.6857309,100.0,1,0.0
