time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.0,-0.051897676845743465,-0.5016038889131231,-2.9661225230041843,-0.8208722386684616,-120.0,1,0.0
0.005,-0.05560109888823919,-0.9752705090871792,-2.9721816080976247,-1.595094494152285,-120.0,1,0.0
0.01,-0.06160681039339406,-1.4227696816097055,-2.9819975242015064,-2.32372160365399,-120.0,1,0.0
0.015,-0.06978726347794612,-1.8453255624335945,-2.9953434543696824,-3.007099506567921,-120.0,1,0.0
0.02,-0.08001966873017802,-2.2436210301608437,-3.011992578295565,-3.6448889923863743,-120.0,1,0.0
0.025,-0.09218337108770548,-2.617836080351699,-3.0317148070573112,-4.236137780998953,-120.0,1,0.0
0.03,-0.10615749948268031,-2.9677188667994345,-3.054273996480414,-4.779399915744484,-120.0,1,0.0
0.035,-0.12181905260044203,-3.2926889503500956,-3.0794258759238584,-5.272902347399946,-120.0,1,0.0
0.04,-0.13904157735274694,-3.5919704561961376,-3.1069169218400177,-5.714755161482674,-120.0,1,0.0
0.045,-0.15769457544771234,-3.864748622855028,-3.1364843712418007,-6.103194801687503,-120.0,1,0.0
0.05,-0.17764372718565516,-4.110337656955697,3.1153278127101105,-6.436840504360633,-120.0,1,0.0
0.055,-0.19875194754611247,-4.328342582523662,3.08242518142643,-6.714935780710211,-120.0,1,0.0
0.06,-0.22117957578945685,-4.636683480724485,3.0478265875571786,-7.112968557141316,-150.0,1,0.0
0.065,-0.24505848250530576,-4.908874468956976,3.011410795727249,-7.441881906588866,-150.0,1,0.0
0.07,-0.2702088269155644,-5.14540304112354,2.973521320233644,-7.702728245041267,-150.0,1,0.0
0.075,-0.29645511857034823,-5.347528129804017,2.934493089288967,-7.897889426496905,-150.0,1,0.0
0.08,-0.3236300852987526,-5.517268077705883,2.8946459343400903,-8.030996245592332,-150.0,1,0.0
0.085,-0.35157824750483685,-5.657298221712135,2.8542788463199233,-8.10670811825688,-150.0,1,0.0
0.09,-0.38015880485855447,-5.770783460735382,2.8136655888771767,-8.130399849326547,-150.0,1,0.0
0.095,-0.40924759329448446,-5.861179604722688,2.7730519883151814,-8.107813955193746,-150.0,1,0.0
0.1,-0.43873804040437986,-5.932036326108341,2.7326549327259357,-8.044732567970476,-150.0,1,0.0
0.105,-0.4685411934622798,-5.986826500071,2.692662878813831,-7.946707201512104,-150.0,1,0.0
0.11,-0.49858499110184507,-6.028815705615321,2.6532375226211755,-7.818864942702758,-150.0,1,0.0
0.115,-0.5288129919668072,-6.06097538946466,2.6145162428737496,-7.665792263564068,-150.0,1,0.0
0.12,-0.5591827713418341,-6.085935831670923,2.576614951465487,-7.491485994824878,-150.0,1,0.0
0.125,-0.5896641662358503,-6.105971099730522,2.539631054014521,-7.299355498281185,-150.0,1,0.0
0.13,-0.6200186025839597,-6.036860428026651,2.5039153614798373,-6.986496003610387,-120.0,1,0.0
0.135,-0.6500437896801038,-5.974351146336812,2.4697696460356404,-6.671493128242381,-120.0,1,0.0
0.14,-0.6797737385670198,-5.918808522320756,2.4372029186994935,-6.354988135394946,-120.0,1,0.0
0.145,-0.7092437822253014,-5.870403917124052,2.406221538657439,-6.037412219429802,-120.0,1,0.0
0.15,-0.738489716226326,-5.829157381155392,2.376830101137023,-5.719048911586686,-120.0,1,0.0
0.155,-0.7675471311634731,-5.7949719724275495,2.349032049831413,-5.400082289489101,-120.0,1,0.0
0.16,-0.7964508986313623,-5.767661074206884,2.3228300783420135,-5.080633579308282,-120.0,1,0.0
0.165,-0.825234778956239,-5.746969981322383,2.298226372620296,-4.76078852214857,-120.0,1,0.0
0.17,-0.8541163290303033,-5.805860039600956,2.275038865739817,-4.5133184025785615,-150.0,1,0.0
0.17500000000000002,-0.883295655998755,-5.866112095912218,2.2531015733921134,-4.26081399855984,-150.0,1,0.0
0.18,-0.9127799738295544,-5.927874998702126,2.232438060074613,-4.003906325730593,-150.0,1,0.0
0.185,-0.942577059764312,-5.991227182626173,2.2130688967903396,-3.7431645923163863,-150.0,1,0.0
0.19,-0.9725190898097319,-5.986496593723596,2.195169455536009,-3.416659959047748,-120.0,1,0.0
0.195,-1.0024507553345425,-5.987003539488363,2.178901752528848,-3.0904831282373224,-120.0,1,0.0
