episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,nominal,0.0,0.9904718297782399,-29736.274764672897,-14.868137382336448,2000,0,0,0,3.0087203013450963,1.690580557243382,90.015
2,4000,1,nominal,0.0,0.9810345364611593,-29811.13479381185,-14.905567396905925,2000,0,0,0,3.0293436956501973,1.3658595732907148,88.95
3,6000,1,nominal,0.0,0.9716872532913837,-29672.535502228104,-14.836267751114052,2000,0,0,0,2.9927384433258757,1.772500528842785,89.805
4,8000,1,nominal,0.0,0.9624291217784178,-29507.397940779676,-14.753698970389838,2000,0,0,0,2.9632233017410514,2.1554858268603265,92.01
5,10000,1,nominal,0.0,0.953259291619797,-29512.37411225472,-14.756187056127361,2000,0,0,0,2.96143109961999,2.0210636631392243,90.495
6,12000,1,nominal,0.0,0.9441769206229941,-29647.69223132891,-14.823846115664455,2000,0,0,0,2.9800016399568525,1.9881829288691757,89.535
7,14000,1,nominal,0.0,0.9351811746280676,-29651.078648090446,-14.825539324045224,2000,0,0,0,2.989186663764396,1.806477150094419,91.14
8,16000,1,nominal,0.0,0.9262712274310506,-29665.996511566278,-14.832998255783139,2000,0,0,0,2.9901499686462794,1.8348371389631206,91.485
9,18000,1,nominal,0.0,0.9174462607080677,-29766.236783129425,-14.883118391564713,2000,0,0,0,3.0160228361533026,1.586623306987218,92.55
10,20000,1,nominal,0.0,0.9087054639401777,-29555.63694321645,-14.777818471608224,2000,0,0,0,2.975261978270641,1.918856047526186,89.97
11,22000,1,nominal,0.0,0.9000480343389327,-29533.488757098472,-14.766744378549236,2000,0,0,0,2.9676185595834776,2.0485285271187443,91.41
12,24000,1,nominal,0.0,0.8914731767726461,-29561.96025542608,-14.78098012771304,2000,0,0,0,2.9726479103533183,1.88976442165566,90.99
13,26000,1,nominal,0.0,0.8829801036933657,-29198.32024721518,-14.59916012360759,2000,0,0,0,2.905857791191499,2.5568594791295456,90.165
14,28000,1,nominal,0.0,0.8745680350645408,-29472.035670510755,-14.736017835255378,2000,0,0,0,2.9498197367660888,2.1899850033864943,91.935
15,30000,1,nominal,0.0,0.8662361982893823,-29271.33216397561,-14.635666081987805,2000,0,0,0,2.917424506450414,2.4750050470845237,91.68
16,32000,1,nominal,0.0,0.8579838281399028,-28525.644348009315,-14.262822174004658,2000,0,0,0,2.810681621710616,3.5606949809498647,92.04
17,34000,1,nominal,0.0,0.8498101666866369,-29487.84508431668,-14.743922542158339,2000,0,0,0,2.950287842785229,2.1234147300569304,89.955
18,36000,1,nominal,0.0,0.8417144632290285,-28892.93235827265,-14.446466179136324,2000,0,0,0,2.85494618975158,3.2277139925374394,93.99
19,38000,1,nominal,0.0,0.8336959742264841,-28663.101585913624,-14.331550792956811,2000,0,0,0,2.8289035902536277,3.331943829087203,94.65
20,40000,1,nominal,0.0,0.8257539632300833,-28298.266345230633,-14.149133172615317,2000,0,0,0,2.788035877842948,3.55304312851821,93.36
21,42000,1,nominal,0.0,0.8178877008149407,-28223.153276713514,-14.111576638356757,2000,0,0,0,2.7682956540454016,3.911996082967189,95.835
22,44000,1,nominal,0.0,0.8100964645132119,-27452.000909806775,-13.726000454903387,2000,0,0,0,2.688970450393306,4.54340345658322,96.45
23,46000,1,nominal,0.0,0.8023795387477403,-27852.93261234783,-13.926466306173916,2000,0,0,0,2.729779606391895,4.209057116231985,97.92
24,48000,1,nominal,0.0,0.7947362147663348,-28006.131592459955,-14.003065796229977,2000,0,0,0,2.7538629186610515,3.9246930371745914,95.82
25,50000,1,nominal,0.0,0.7871657905766759,-27712.975965365848,-13.856487982682923,2000,0,0,0,2.7083984810969888,4.342886169871973,99.72
26,52000,1,nominal,0.0,0.7796675708818418,-27430.594729051776,-13.715297364525888,2000,0,0,0,2.6853904311209416,4.5247105201225475,98.01
