episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9961495381865209,-29743.55146680606,-14.87177573340303,2000,0,0,0,3.0064203394557114,1.7252350030952912,89.355
2,4000,1,smoke_nominal,0.0,0.992313917270116,-29731.72567694891,-14.865862838474456,2000,0,0,0,3.0065214460262704,1.6521599616069857,89.82
3,6000,1,smoke_nominal,0.0,0.988493080049276,-29791.793682706026,-14.895896841353013,2000,0,0,0,3.0220302765169933,1.4561163907612669,90.675
4,8000,1,smoke_nominal,0.0,0.9846869695429652,-29645.09151399545,-14.822545756997725,2000,0,0,0,2.9950820664542315,1.7375351637335932,89.34
5,10000,1,smoke_nominal,0.0,0.9808955289897698,-29610.249318542737,-14.80512465927137,2000,0,0,0,2.9827644175774166,1.8569251260695792,89.4
6,12000,1,smoke_nominal,0.0,0.9771187018470531,-29607.212429185343,-14.803606214592671,2000,0,0,0,2.981124651654718,1.8743078315001207,92.055
7,14000,1,smoke_nominal,0.0,0.9733564317901113,-29762.754933807868,-14.881377466903935,2000,0,0,0,3.0156772285286633,1.5629914624760546,88.32
8,16000,1,smoke_nominal,0.0,0.9696086627113338,-29718.845689032118,-14.85942284451606,2000,0,0,0,3.0063045017865258,1.7102650042677656,89.37
9,18000,1,smoke_nominal,0.0,0.9658753387193668,-29720.176690058983,-14.860088345029492,2000,0,0,0,3.0032592654273995,1.6555521834431832,88.995
10,20000,1,smoke_nominal,0.0,0.9621564041382791,-29706.25801901472,-14.85312900950736,2000,0,0,0,2.9982889662698335,1.6796523874010787,91.395
11,22000,1,smoke_nominal,0.0,0.9584518035067322,-29688.336033431304,-14.844168016715653,2000,0,0,0,3.0032390367202706,1.6314345640573737,90.285
12,24000,1,smoke_nominal,0.0,0.9547614815771532,-29692.77920183182,-14.846389600915911,2000,0,0,0,2.9990202617678423,1.7722775319442126,91.44
13,26000,1,smoke_nominal,0.0,0.951085383314911,-29771.3261413219,-14.88566307066095,2000,0,0,0,3.019787566830678,1.445063413371978,89.7
14,28000,1,smoke_nominal,0.0,0.9474234538974948,-29597.174449091748,-14.798587224545875,2000,0,0,0,2.9738583286423745,1.9236408834445065,89.88
15,30000,1,smoke_nominal,0.0,0.9437756387136976,-29647.640804157967,-14.823820402078983,2000,0,0,0,2.9860992592128888,1.848962007152536,90.855
16,31553,2,smoke_dr_0.10,0.1,0.09953530382633499,-23191.350251812823,-14.933258372062346,1553,0,0,0,3.0522081923807836,0.8234829037410613,89.80682549903413
17,33553,2,smoke_dr_0.10,0.1,0.09894038706010731,-26512.28744460001,-13.256143722300004,2000,0,0,0,2.682591067863958,3.560954092802502,93.99
18,35553,2,smoke_dr_0.10,0.1,0.09834942321461161,-25250.36057121702,-12.625180285608511,2000,0,0,0,2.5337421028646196,4.632611478278606,99.585
19,37553,2,smoke_dr_0.10,0.1,0.09776238602469081,-22220.624359935973,-11.110312179967986,2000,0,0,0,2.3167606102127465,6.207484926707731,109.68
20,39553,2,smoke_dr_0.10,0.1,0.09717924939970649,-20308.125372379647,-10.154062686189823,2000,0,0,0,2.205101440067889,7.379827680661115,113.85
21,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-5502.327605231354,-12.309457729824059,447,0,0,0,2.504889993713645,4.749959800965804,115.77181208053692
