trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
0,-12.731016087567859,"{""exploration_decay"": 400000.0, ""learning_rate"": 0.0005, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0000_20260722_175140,0,0,1,2026-07-22T15:52:41+00:00
1,-12.779911513944988,"{""exploration_decay"": 386067.00172586634, ""learning_rate"": 0.0005395030966670229, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0001_20260722_175241,0,0,0,2026-07-22T15:53:33+00:00
2,-14.952460226605167,"{""exploration_decay"": 517965.75210563437, ""learning_rate"": 0.00011430983876313228, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0002_20260722_175333,0,0,0,2026-07-22T15:54:24+00:00
3,-14.967534420784514,"{""exploration_decay"": 580489.8110927722, ""learning_rate"": 0.00010485387725194633, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0003_20260722_175424,0,0,0,2026-07-22T15:55:15+00:00
4,-14.67500575697667,"{""exploration_decay"": 244644.9106320238, ""learning_rate"": 0.0001519934830130982, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0004_20260722_175516,0,0,0,2026-07-22T15:56:04+00:00
5,-14.816900612310752,"{""exploration_decay"": 275411.2069406723, ""learning_rate"": 0.0002703616066662003, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0005_20260722_175604,0,0,0,2026-07-22T15:57:12+00:00
6,-13.554616065999621,"{""exploration_decay"": 299108.68122043856, ""learning_rate"": 0.00019594972058679176, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0006_20260722_175712,0,0,0,2026-07-22T15:58:05+00:00
7,-12.512271413101931,"{""exploration_decay"": 351869.9474461264, ""learning_rate"": 0.0001583703155911876, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0007_20260722_175805,0,0,0,2026-07-22T15:59:28+00:00
8,-10.99927818259852,"{""exploration_decay"": 241207.42895192828, ""learning_rate"": 0.0004050837781329676, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0008_20260722_175928,0,0,0,2026-07-22T16:01:00+00:00
9,-14.794832226792948,"{""exploration_decay"": 486108.87785373925, ""learning_rate"": 0.0009239150319627245, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0009_20260722_180100,0,0,0,2026-07-22T16:01:49+00:00
10,-10.752334634923976,"{""exploration_decay"": 201665.20961668895, ""learning_rate"": 0.0004563342572871553, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0010_20260722_180149,0,0,0,2026-07-22T16:02:38+00:00
11,-9.646318386120171,"{""exploration_decay"": 208692.38948074408, ""learning_rate"": 0.00043148566788370576, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0011_20260722_180238,0,0,0,2026-07-22T16:03:27+00:00
12,-14.809783243344054,"{""exploration_decay"": 204100.28278646714, ""learning_rate"": 0.0007659016262312927, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0012_20260722_180327,0,0,0,2026-07-22T16:04:16+00:00
13,-14.698526155876324,"{""exploration_decay"": 201028.248137852, ""learning_rate"": 0.0003635800232748695, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0013_20260722_180416,0,0,0,2026-07-22T16:05:04+00:00
14,-12.961231286505505,"{""exploration_decay"": 233653.80552080603, ""learning_rate"": 0.00026576945340074214, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0014_20260722_180505,0,0,0,2026-07-22T16:05:55+00:00
15,-14.255964817302452,"{""exploration_decay"": 297231.0340152574, ""learning_rate"": 0.0005691794282348833, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0015_20260722_180555,0,0,0,2026-07-22T16:06:58+00:00
16,-12.62700709764042,"{""exploration_decay"": 222578.18449053398, ""learning_rate"": 0.0006836356627305902, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0016_20260722_180658,0,0,0,2026-07-22T16:07:55+00:00
17,-12.782405483012703,"{""exploration_decay"": 270391.2356890386, ""learning_rate"": 0.00040651246164161923, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0017_20260722_180755,0,0,0,2026-07-22T16:08:50+00:00
18,-11.263792525605052,"{""exploration_decay"": 201286.05202387765, ""learning_rate"": 0.0002980455779523, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0018_20260722_180851,0,0,0,2026-07-22T16:09:48+00:00
19,-14.97386419986633,"{""exploration_decay"": 330260.42452959786, ""learning_rate"": 0.00022330363651561536, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0019_20260722_180948,0,0,0,2026-07-22T16:10:43+00:00
20,-12.886596424899366,"{""exploration_decay"": 261683.28371492488, ""learning_rate"": 0.00047652798816677977, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0020_20260722_181043,0,0,0,2026-07-22T16:11:41+00:00
21,-13.976632445686196,"{""exploration_decay"": 226181.03189802007, ""learning_rate"": 0.0003764417010295546, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0021_20260722_181141,0,0,0,2026-07-22T16:12:33+00:00
22,-11.101332783684697,"{""exploration_decay"": 245144.048990674, ""learning_rate"": 0.00045530995883814396, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0022_20260722_181233,0,0,0,2026-07-22T16:13:25+00:00
23,-12.906566727231255,"{""exploration_decay"": 219249.16205484053, ""learning_rate"": 0.0006754147921464886, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0023_20260722_181325,0,0,0,2026-07-22T16:14:20+00:00
24,-13.989215624399343,"{""exploration_decay"": 214315.11094239072, ""learning_rate"": 0.0003244988083815469, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0024_20260722_181421,0,0,0,2026-07-22T16:15:40+00:00
25,-14.066860961455202,"{""exploration_decay"": 246464.38404974973, ""learning_rate"": 0.0006078410687547145, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0025_20260722_181540,0,0,0,2026-07-22T16:16:52+00:00
26,-14.083521512213082,"{""exploration_decay"": 291385.4805258747, ""learning_rate"": 0.00041179611160017894, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0026_20260722_181652,0,0,0,2026-07-22T16:17:44+00:00
