#{"t_start": 1784553574.114183, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
523.076293,76,1.477758
373.954106,57,1.798391
571.073641,83,2.283712
336.366434,52,2.581829
392.200177,59,2.9253
461.175419,67,3.319124
284.167432,48,3.603135
446.547298,67,4.002538
647.175753,90,4.550974
315.902842,50,4.885853
335.185143,53,5.208162
283.07922,50,5.501625
517.408546,74,5.939046
359.339856,59,6.283976
423.963135,65,6.676085
229.015745,41,6.921805
603.190813,85,8.442258
670.816413,96,9.041019
405.27198,62,9.416314
495.329715,71,9.846893
271.352751,45,10.118368
261.436028,43,10.376961
432.051439,65,10.770008
344.523933,54,11.115427
597.679602,84,11.653395
367.399319,56,12.00413
445.655084,66,12.394388
230.586184,40,12.634229
812.490765,111,13.295874
304.3177,50,13.610177
717.09855,100,14.216805
637.899321,93,15.516658
710.646485,99,16.111834
481.49216,71,16.537896
376.828811,59,16.946228
504.184131,78,17.433297
576.030094,83,17.927797
276.170332,46,18.20622
710.561107,103,18.814851
838.308501,117,19.511389
611.669485,86,20.030261
542.323743,79,20.505578
400.849171,63,20.900743
570.080716,82,22.127021
837.897878,118,22.871233
967.150808,133,23.672783
637.020901,94,24.24415
342.868293,57,24.589213
536.371763,80,25.071521
855.858389,122,25.858811
465.875698,73,26.290571
567.399482,84,26.804258
524.808002,77,27.382524
682.011978,94,27.968789
428.58954,63,28.348781
1197.031678,159,30.231799
861.863174,118,30.941543
676.606456,99,31.554568
721.606568,101,32.235472
497.624554,75,32.68594
671.822218,96,33.261684
1014.57732,139,34.098942
666.039583,94,34.695068
930.978849,128,35.522517
718.441383,100,36.909829
471.248077,71,37.34395
951.832029,130,38.126308
775.623119,111,38.806484
504.183207,76,39.28836
706.964207,103,39.909621
538.310984,83,40.425443
678.076547,97,41.028058
803.124611,111,41.717947
648.523544,94,42.311301
907.434122,127,43.837222
875.900098,120,44.586013
822.691247,116,45.531385
932.088878,130,46.725697
1407.988144,184,48.016338
1067.82699,144,48.952949
887.654917,123,49.726752
895.548503,125,50.518545
1478.966961,216,52.628416
2173.636144,285,54.922404
1409.266401,185,56.114581
1271.44404,169,57.20051
1423.585415,189,58.34767
2126.435712,279,60.810269
1779.11181,234,62.232312
1803.580828,239,63.706294
2108.174029,277,65.477882
2941.809195,380,68.555097
21864.055345,3001,88.511067
23909.814199,3001,108.386206
23881.817377,3001,128.328123
22969.297988,3001,148.257025
22940.909941,3001,169.326633
22949.383614,3001,215.154623
22636.734409,3001,235.051916
2286.581275,310,237.60485
22908.786662,3001,258.040801
7303.492862,986,266.98314
19759.890463,2585,286.653139
21108.803667,2759,308.152877
8301.192794,1131,315.854683
3595.239113,482,319.140689
22251.567688,3001,341.749489
16897.623725,2215,357.977281
15512.596398,2038,373.134141
22607.144097,3001,422.821645
22785.081098,3001,446.159478
22605.147395,3001,470.060926
3517.564418,476,473.94857
10281.730564,1385,484.883256
10405.579158,1399,494.599269
3523.852493,461,499.520731
2459.396292,330,501.785544
22266.807354,3001,524.662006
2925.739292,391,528.760549
5405.123735,742,534.079073
9100.467904,1241,542.746318
21432.092282,3001,566.577899
22632.78588,3001,588.988221
6921.58911,937,596.255717
3883.30933,510,600.906085
12875.496225,1710,637.859884
22368.774466,3001,705.515879
10073.261074,1361,720.289706
22552.117378,3001,743.404626
21040.072068,3001,767.242651
3102.029976,426,770.311973
6334.116384,875,776.802077
22376.713831,3001,800.621255
2707.546446,356,803.231378
22546.352813,3001,826.156457
12397.218417,1648,839.610759
22518.725737,3001,862.081334
9612.21532,1309,895.048876
2773.077086,372,897.695811
10165.070853,1373,909.191465
2651.309181,355,911.43143
3356.467857,444,914.633133
8180.200617,1135,923.60054
11009.944882,1594,936.722252
3273.642793,438,939.471635
10949.141137,1470,951.86132
22528.145792,3001,974.791577
20842.529532,3001,998.804822
4780.705884,644,1003.020971
21376.399444,3001,1026.023012
10189.438642,1376,1037.785453
9081.789252,1242,1047.673224
21957.623483,3001,1070.879444
3117.212754,417,1073.520302
