trial,seed,duration_s,randomization,pwm_limit,swing_pwm,steps,final_alpha_rad,captured,capture_count,stable_start_time_s,stable_duration_s,alpha_abs_mean,alpha_abs_std,pwm_abs_mean,pwm_abs_std,max_abs_theta_rad,csv,png,model
PPO_SIM_R01,2026,30.0,0.0,150.0,120.0,6000,5.586353601927385e-10,1,1,4.16,25.835,0.0038011041518948557,0.014672193530609655,2.5024235564718436,9.634544955082042,2.3915831260848863,PPO_SIM_R01.csv,PPO_SIM_R01.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R02,2027,30.0,0.0,150.0,120.0,6000,-1.0341816292225303e-09,1,1,3.4050000000000002,26.59,0.002318857728191988,0.009548012414678106,1.828880929683735,7.240909117881909,2.040641929110705,PPO_SIM_R02.csv,PPO_SIM_R02.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R03,2028,30.0,0.0,150.0,120.0,6000,6.425535659104753e-10,1,1,3.785,26.21,0.002765704261824796,0.015305890941913652,1.7971690930616238,9.83313289992888,2.0347296420875707,PPO_SIM_R03.csv,PPO_SIM_R03.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R04,2029,30.0,0.0,150.0,120.0,6000,3.7401193253572274e-10,1,1,3.4050000000000002,26.59,0.002359596240275565,0.009593655566726422,1.905788265992785,7.370830476166969,2.152053741176794,PPO_SIM_R04.csv,PPO_SIM_R04.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R05,2030,30.0,0.0,150.0,120.0,6000,-9.220579855195865e-10,1,1,3.855,26.14,0.002828057512851308,0.015288880884573251,1.9998270242814857,10.196383152171327,2.3519902193484534,PPO_SIM_R05.csv,PPO_SIM_R05.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R06,2031,30.0,0.0,150.0,120.0,6000,-1.3875771642801737e-09,1,1,3.87,26.125,0.0024608598519557947,0.014020379948362244,1.8476490067629645,9.981219104985605,2.341918346438433,PPO_SIM_R06.csv,PPO_SIM_R06.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R07,2032,30.0,0.0,150.0,120.0,6000,-3.5610465687341275e-09,1,1,3.83,26.165,0.0015356621454478742,0.010701418245054856,1.4097111438840217,8.203676664113598,2.2581813153123704,PPO_SIM_R07.csv,PPO_SIM_R07.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R08,2033,30.0,0.0,150.0,120.0,6000,1.0079048706757021e-09,1,1,3.465,26.53,0.0038388435323908877,0.015006404828121196,2.596343828898287,9.587769270031082,2.661797113674596,PPO_SIM_R08.csv,PPO_SIM_R08.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R09,2034,30.0,0.0,150.0,120.0,6000,6.001465990834731e-10,1,1,3.77,26.225,0.00272277418882767,0.015101360410812741,1.883291057504673,9.995754546562376,2.2305924271758073,PPO_SIM_R09.csv,PPO_SIM_R09.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
PPO_SIM_R10,2035,30.0,0.0,150.0,120.0,6000,1.6013990133956213e-10,1,1,3.775,26.220000000000002,0.0026854310080753354,0.015015721041022265,1.7232038498078668,9.711625137374368,1.9321701814168033,PPO_SIM_R10.csv,PPO_SIM_R10.png,C:\Users\kreml\AI-Enabled-PKU\lab3\3.PPO\train\runs\ppo_sb3_sim2real_balance_20260723_224048\model_weights.h
