#{"t_start": 1784742608.9022286, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
399.641152,62,0.149057
201.121547,37,0.235307
471.589124,72,0.410883
457.886569,70,0.583452
269.899568,44,0.68662
411.880044,62,0.842577
319.170758,52,0.969771
544.742779,78,1.155475
497.714494,73,1.326754
515.734136,77,1.492561
235.176,40,1.581429
253.491687,41,1.673828
875.208157,116,1.933198
720.890277,99,2.146354
262.06079,48,2.252494
325.571639,52,2.366766
528.403869,78,3.318735
399.849205,59,3.445487
269.082878,47,3.551995
565.896478,82,3.73923
337.049441,52,3.864817
355.273574,58,3.995164
261.543137,45,4.090726
452.554055,69,4.24988
262.019697,43,4.344108
521.423409,77,4.511091
662.929452,93,4.714891
389.172961,60,4.846509
354.315544,54,4.962082
897.929968,123,5.671101
501.2326,74,5.835642
399.495025,61,6.788741
600.33872,86,6.996127
686.565751,96,7.208975
383.727421,65,7.359455
426.638372,63,7.499693
326.171573,52,7.623038
680.224726,99,7.84877
304.664744,48,7.960242
382.958718,58,8.089024
427.19936,66,8.230984
356.20912,57,8.352739
487.435936,72,8.51159
539.237651,79,8.683979
501.845203,74,8.857506
619.143441,89,9.853865
488.0463,75,10.020159
487.39124,73,10.190477
505.73737,74,10.355347
493.618476,72,10.515421
909.565481,124,10.785819
436.281725,68,10.937771
358.672616,57,11.067853
351.727539,56,11.191995
400.469186,64,11.849274
581.973842,83,12.035864
403.606919,61,12.172002
351.270148,57,12.29704
516.4877,76,12.468741
347.839787,54,12.601639
860.51376,118,13.661286
1131.860077,149,13.995517
747.417755,106,14.235507
503.24858,73,14.403235
1289.093684,171,14.804545
835.624802,113,15.061265
617.701395,87,15.258461
536.844945,79,15.440587
893.696997,124,15.716985
1357.620692,177,16.900582
470.969518,71,17.066607
547.310646,81,17.239058
1733.647254,223,18.482453
796.517382,110,18.726846
791.61696,110,18.971603
1228.123803,163,19.338551
1573.111309,209,20.590995
1204.029895,160,20.935302
837.391468,114,21.176043
1831.461447,235,21.680537
1153.844202,152,22.012144
1830.410087,237,22.529426
1018.320535,135,23.603976
3153.693397,404,28.008448
