timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
328,232.749818,41,5.676824829268293,5.676824829268293,0.0,0.0
336,249.101128,42,5.9309792380952375,5.803902033681766,0.0,0.0
368,264.249019,46,5.744543891304347,5.784115986222626,0.0,0.0
432,331.43316,54,6.1376511111111105,5.872499767444747,0.0,0.0
496,399.641152,62,6.445825032258064,5.98716482040741,0.0,0.0
496,425.032769,62,6.855367241935483,6.1318652239954226,0.0,0.0
512,422.281277,64,6.598144953125,6.198476613871077,0.0,0.0
608,527.511127,76,6.940935881578947,6.29128402233456,0.0,0.0
712,297.638401,48,6.200800020833333,6.281230244389979,0.0,0.0
792,201.121547,37,5.435717486486486,6.19667896859963,0.0,0.0
808,366.372921,55,6.661325836363637,6.238919592941812,0.0,0.0
920,508.477809,73,6.965449438356164,6.2994637467263415,0.0,0.0
992,464.056077,70,6.6293725285714284,6.324841345329809,0.0,0.0
1040,439.499795,66,6.659087803030303,6.348716092308416,0.0,0.0
1120,431.119316,64,6.7362393125,6.374550973654522,0.0,0.0
1176,367.064709,58,6.328701879310345,6.371685405258011,0.0,0.0
1288,713.255284,99,7.204598828282828,6.420680312494765,0.0,0.0
1296,385.289312,61,6.316218229508197,6.414876863439956,0.0,0.0
1360,342.359575,55,6.224719545454546,6.404868583545987,0.0,0.0
1368,471.589124,72,6.549848944444445,6.41211760159091,0.0,0.0
1384,294.827272,49,6.016883102040816,6.393296911136144,0.0,0.0
1552,429.26671,64,6.70729234375,6.40756943080041,0.0,0.0
1552,349.897789,54,6.479588685185185,6.410700702730183,0.0,0.0
1648,263.567465,44,5.99016965909091,6.393178575911879,0.0,0.0
1744,481.413415,71,6.780470633802817,6.408670258227517,0.0,0.0
1768,410.484307,60,6.8414051166666665,6.425313906629023,0.0,0.0
1808,333.488158,53,6.292229396226415,6.420384850688185,0.0,0.0
1872,224.476887,40,5.611922175,6.391511183699321,0.0,0.0
1904,274.853729,44,6.246675659090909,6.3865168552645475,0.0,0.0
1928,457.886569,70,6.5412367,6.3916741834223965,0.0,0.0
2080,638.071563,90,7.089684033333333,6.438769490224564,0.0,0.0
2080,214.9879,39,5.512510256410256,6.424820524168399,0.0,0.0
2184,356.22699,55,6.476854363636364,6.449230873246133,0.0,0.0
2280,269.899568,44,6.134081090909091,6.449111872572732,0.0,0.0
2368,403.107772,62,6.501738258064516,6.45097564676628,0.0,0.0
2440,716.616526,99,7.2385507676767675,6.463748430957656,0.0,0.0
2472,591.898936,83,7.131312481927711,6.481520681917748,0.0,0.0
2472,290.278782,49,5.924056775510204,6.447624711715457,0.0,0.0
2576,576.130604,84,6.858697666666666,6.469554633243233,0.0,0.0
2656,200.71295,36,5.575359722222222,6.474209374434425,0.0,0.0
2712,441.563342,66,6.690353666666667,6.47517696877786,0.0,0.0
2776,411.880044,62,6.643226516129032,6.464436204703621,0.0,0.0
2840,666.685947,95,7.017746810526316,6.477382014102118,0.0,0.0
2920,369.985146,56,6.606877607142857,6.475641674239204,0.0,0.0
3032,516.25027,74,6.976355,6.483645530489204,0.0,0.0
3072,525.800951,75,7.0106793466666675,6.5063781127344145,0.0,0.0
3184,448.762027,66,6.799424651515151,6.492872306842159,0.0,0.0
