#{"t_start": 1784829398.6566787, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
526.315409,78,0.18246
464.827616,71,0.335177
405.357906,62,0.465669
313.21509,49,0.57116
294.519798,49,0.674603
300.690044,49,0.789257
623.151948,92,0.995417
345.728105,53,1.11577
521.447913,75,1.292499
360.078753,57,1.423412
549.429206,79,1.603382
570.378033,85,1.798739
323.956389,51,1.915168
396.315751,62,2.055875
353.993744,55,2.176
260.244735,44,2.280091
287.509498,54,2.800616
512.970115,73,2.965291
461.829282,72,3.136635
1347.844419,180,3.556024
253.241746,44,3.658586
834.362043,114,3.92207
364.149958,59,4.054893
279.616961,48,4.161404
280.385024,47,4.270396
374.441028,56,4.400095
629.874009,90,4.606382
310.9327,50,4.72386
294.856958,47,4.828501
934.467881,128,5.520349
450.99743,67,5.667569
670.458119,96,5.886455
395.802897,64,6.034041
335.335436,55,6.158266
331.319285,52,6.276362
640.867646,89,6.479609
1266.154783,167,6.863997
352.706558,58,6.99447
374.256305,62,7.134187
661.90186,93,7.347415
395.808869,64,7.489911
442.156688,69,7.648896
247.421598,44,7.747887
295.252659,52,8.264529
530.77794,77,8.442072
415.315731,65,8.589717
241.875263,42,8.685848
439.632394,69,8.841801
574.33014,83,9.023917
501.165621,73,9.188574
750.196565,105,9.424309
568.898608,84,9.613332
568.879306,82,9.799248
422.314999,67,9.951742
571.517417,84,10.137023
470.475035,70,10.299176
403.323503,63,10.438615
251.767344,47,10.942816
1050.059095,142,11.259358
774.787859,107,11.499046
573.568072,84,11.69073
549.032732,79,11.872017
306.951793,51,11.991577
421.373393,64,12.129843
752.905639,104,12.366991
712.284031,101,12.624762
468.294757,70,12.781409
614.527141,88,12.980333
302.763823,50,13.090685
448.25049,68,13.649608
474.229114,70,13.803616
936.045856,128,14.089594
752.899068,105,14.324974
562.031679,82,14.512277
457.97685,70,14.665309
477.084888,71,14.832627
331.65478,53,14.948312
600.474541,89,15.151381
631.255115,89,15.364619
671.127686,93,15.578216
766.868374,110,15.8213
803.198381,109,16.478296
692.383565,100,16.713192
1155.616352,155,17.061782
890.447758,120,17.332426
757.891579,105,17.565255
676.618954,97,17.780491
666.687146,94,17.983971
467.561935,71,18.145219
629.56543,89,18.346258
352.781816,56,18.472641
456.021034,69,18.626013
520.479474,77,19.193165
1932.085272,248,19.740987
1198.664044,160,20.092768
711.676926,101,20.310631
1572.761213,206,20.767319
965.740756,129,21.051268
743.51357,103,21.280482
1075.621379,144,21.993474
817.063309,115,22.246766
1202.492103,158,22.591684
1547.71671,202,23.049913
1413.554734,184,23.45637
2545.170583,324,24.563065
945.474865,129,24.849699
873.082965,120,25.111281
689.369513,99,25.329471
1588.013216,207,25.783569
1425.012616,185,26.187346
817.324492,112,26.436037
1416.390759,184,27.238466
3687.500892,461,28.246983
2503.967006,324,28.94625
1270.777212,169,29.7069
3004.965345,378,30.525352
2253.107443,286,31.140916
24630.505232,3001,38.835954
24719.252923,3001,46.515301
24722.993271,3001,54.185352
24716.969964,3001,61.94167
24731.81663,3001,69.723537
24742.373683,3001,77.523746
24704.038936,3001,91.956829
24742.304833,3001,99.724705
24739.987003,3001,107.492599
24739.624189,3001,114.865979
24732.99051,3001,122.622753
24735.213234,3001,130.364437
24740.542283,3001,138.142818
24725.693962,3001,145.907243
24747.035225,3001,153.67267
24748.956344,3001,161.428853
24750.443174,3001,175.84234
24749.288578,3001,183.70443
24752.316748,3001,191.352046
24745.391444,3001,199.049231
24742.357721,3001,206.695786
24738.204471,3001,214.364414
24741.276286,3001,222.002227
24723.661007,3001,229.662225
24711.783293,3001,236.87948
24698.827136,3001,244.563033
24732.021292,3001,252.21862
24744.784107,3001,266.534033
24744.687611,3001,274.296426
24699.33841,3001,282.003239
24736.418639,3001,289.785365
7950.512429,1017,292.394562
24625.395043,3001,300.144183
4623.666737,611,301.89325
24721.47435,3001,309.323173
24653.690036,3001,317.171214
23058.173269,3001,324.97022
24671.219208,3001,332.764819
24678.918742,3001,340.589597
24738.068742,3001,355.13106
24742.931339,3001,362.947299
24532.939744,3001,370.722518
24727.445133,3001,378.536136
8128.161249,1054,381.343982
12212.473119,1568,385.242841
24460.505344,3001,393.067528
9748.274992,1259,396.658245
24735.928713,3001,404.456329
24729.009865,3001,412.305854
24659.138872,3001,419.708671
24711.448676,3001,427.496573
12174.670701,1562,438.403382
24722.638085,3001,446.157737
20722.850491,2636,452.701431
24650.319068,3001,460.450845
24687.525769,3001,468.192367
24717.937089,3001,475.929832
24653.996617,3001,483.611315
24747.356763,3001,491.345176
24660.119505,3001,499.104436
24639.573826,3001,506.824282
24748.918082,3001,514.516176
24315.687287,3001,528.869565
24703.315659,3001,536.640053
24679.012255,3001,544.388782
24753.217717,3001,552.253482
24744.393563,3001,559.674472
24738.911574,3001,567.519106
24751.498808,3001,575.29263
24744.258864,3001,583.181444
24734.132707,3001,591.025071
24740.908331,3001,598.858237
24749.526218,3001,613.300001
24742.039759,3001,621.150789
24749.745005,3001,628.837666
24728.241704,3001,636.458097
24744.58098,3001,644.101248
24753.906629,3001,651.744993
24737.319893,3001,659.440874
24747.676663,3001,667.167976
24745.027761,3001,674.951384
24737.202058,3001,682.287995
24741.803244,3001,689.987739
