#{"t_start": 1784734704.7232807, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
539.171479,78,2.614717
611.694772,85,3.051519
302.821974,49,3.32895
350.546237,57,3.665459
580.053495,81,4.123145
489.928237,72,4.517333
285.376433,48,4.778164
314.271887,51,5.059673
508.4376,74,5.455945
323.350118,52,5.751824
414.876434,63,6.098024
502.252026,77,6.512327
227.456856,38,6.719452
224.640584,38,6.92565
288.357396,46,7.166274
273.878535,45,7.402832
236.397558,41,7.616927
708.888919,99,10.521886
424.706016,65,11.764987
362.943352,57,12.882136
314.376252,52,13.783864
407.367144,62,15.022372
354.21348,55,16.149933
676.24504,95,17.188092
456.037081,68,17.605498
313.231161,52,19.144742
283.676744,49,19.442253
427.876939,65,19.883453
397.413282,59,20.213434
535.318408,79,20.675779
348.419131,54,21.017316
341.555984,55,21.320096
558.397861,82,21.809524
674.174388,96,24.8029
1150.112248,152,25.627403
709.968169,99,26.201295
1573.722216,204,27.324189
688.627064,97,27.870034
374.917191,60,28.187138
593.944218,86,28.670652
290.399612,48,28.966434
976.033203,132,29.772723
271.035426,47,30.040549
401.749401,66,43.527898
895.874364,123,46.095958
770.287197,107,48.421827
710.726117,100,50.616383
765.947687,109,53.117251
452.492814,69,54.551971
527.133904,78,56.342813
554.292756,79,57.860514
492.44564,76,59.283224
567.916448,89,61.04478
317.324223,53,61.443549
332.613576,58,61.775688
907.924157,127,64.804162
926.578287,125,65.436365
648.562946,91,65.916335
500.477915,77,66.30629
697.052675,99,66.842011
572.176195,84,67.276338
760.628525,107,69.546797
582.904699,87,71.468734
896.209429,123,73.966877
520.276201,79,74.75564
754.42288,107,77.574973
824.565136,115,78.16106
1070.213769,147,78.914085
818.281012,114,79.49467
1412.035223,188,80.496357
977.224492,132,81.165164
951.98488,131,81.83482
1174.624617,157,84.864425
1431.223059,188,87.975007
1170.588733,156,88.765756
751.894192,105,89.310822
1118.398287,150,90.05282
1033.866923,142,90.7708
1320.177242,178,91.670738
1025.721068,139,94.624979
815.40447,117,95.223989
2476.117834,335,96.859054
1499.29951,201,104.254344
1917.643757,253,105.511345
