timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
376,280.628636,47,5.970822042553191,5.970822042553191,0.0,0.0
416,328.630838,52,6.319823807692307,6.145322925122749,0.0,0.0
472,380.925499,59,6.456364389830508,6.249003413358669,0.0,0.0
480,390.16721,60,6.502786833333333,6.312449268352335,0.0,0.0
512,426.669902,64,6.66671721875,6.383302858431868,0.0,0.0
544,459.974561,68,6.764331779411765,6.446807678595184,0.0,0.0
712,641.671878,89,7.209796382022472,6.555806064799083,0.0,0.0
752,680.408148,94,7.238384553191489,6.641128375848133,0.0,0.0
920,318.260898,51,6.240409764705882,6.596604085721216,0.0,0.0
944,301.53409,50,6.0306818,6.540011857149095,0.0,0.0
968,498.00534,74,6.729801891891892,6.557265496671167,0.0,0.0
992,466.857627,72,6.484133708333333,6.551171180976348,0.0,0.0
1032,452.017284,69,6.550975130434783,6.551156100165458,0.0,0.0
1128,573.223988,82,6.99053643902439,6.582540410083953,0.0,0.0
1144,297.351609,49,6.068400183673469,6.548264394989922,0.0,0.0
1184,379.462382,59,6.431565796610169,6.5409707325911866,0.0,0.0
1272,194.067071,35,5.544773457142857,6.482370892858931,0.0,0.0
1312,268.025355,46,5.826638152173913,6.445941296154208,0.0,0.0
1432,438.296601,64,6.848384390625,6.467122511652671,0.0,0.0
1592,371.121753,58,6.398650913793103,6.4636989317596925,0.0,0.0
1616,503.015977,73,6.890629821917808,6.484028974148174,0.0,0.0
1720,323.187698,51,6.33701368627451,6.477346461063007,0.0,0.0
1736,469.526745,69,6.804735434782609,6.491580764268207,0.0,0.0
1736,518.462522,74,7.0062502972972975,6.51302532814442,0.0,0.0
1768,408.613703,62,6.590543596774193,6.51612605888961,0.0,0.0
1800,276.091828,46,6.001996260869566,6.49635183588884,0.0,0.0
1976,916.364074,126,7.272730746031746,6.525106610338577,0.0,0.0
1984,291.235355,49,5.943578673469388,6.504337755450392,0.0,0.0
2040,195.178534,34,5.740545117647059,6.478000078284759,0.0,0.0
2120,288.55353,48,6.011531875,6.462451138175267,0.0,0.0
2136,327.458579,52,6.297280365384615,6.473333082269648,0.0,0.0
2176,469.907665,70,6.712966642857143,6.486437843441809,0.0,0.0
2328,426.644784,66,6.464314909090909,6.486702860750489,0.0,0.0
2360,279.905886,47,5.955444382978723,6.468458112405336,0.0,0.0
2392,336.284045,52,6.467000865384615,6.46180090062649,0.0,0.0
2568,438.130255,66,6.6383371969696965,6.457601081211754,0.0,0.0
2608,335.596304,54,6.21474637037037,6.424432747490018,0.0,0.0
2680,206.826523,36,5.745181194444445,6.374659302198451,0.0,0.0
2728,495.320602,74,6.693521648648649,6.389763031663208,0.0,0.0
2792,329.647323,54,6.104580055555555,6.392226306848394,0.0,0.0
2792,354.706848,58,6.115635310344827,6.371754087463491,0.0,0.0
2808,607.051926,86,7.058743325581395,6.39090774137176,0.0,0.0
3048,255.825342,46,5.56142047826087,6.357922586299296,0.0,0.0
3048,388.179034,60,6.469650566666667,6.340559723887371,0.0,0.0
3152,456.675842,68,6.715821205882353,6.362140424627667,0.0,0.0
3168,351.647056,55,6.3935828363636364,6.360874325952783,0.0,0.0
3200,1412.870648,183,7.720604633879782,6.433402031844014,0.0,0.0
3256,380.658427,58,6.563076327586208,6.457949971024425,0.0,0.0
3448,314.717701,50,6.294354019999999,6.439482292003591,0.0,0.0
3544,408.152467,62,6.583104306451613,6.445630738425542,0.0,0.0
3592,733.267524,100,7.3326752399999995,6.460365585694947,0.0,0.0
3592,356.214544,55,6.476628072727273,6.465019398576706,0.0,0.0
3632,333.47344,54,6.175434074074074,6.444042686553088,0.0,0.0
3664,322.479779,51,6.323132921568628,6.421272107362132,0.0,0.0
3696,441.933068,66,6.6959555757575755,6.424785839994913,0.0,0.0
3784,910.437631,122,7.462603532786885,6.473472749058823,0.0,0.0
4024,334.712623,54,6.198381907407407,6.437661121104679,0.0,0.0
4024,265.067175,45,5.890381666666667,6.435887887544587,0.0,0.0
4040,363.326781,56,6.487978232142857,6.4608023246944475,0.0,0.0
4048,403.822975,63,6.409888492063492,6.474080878596564,0.0,0.0
4056,278.913142,45,6.198069822222222,6.470773860491151,0.0,0.0
4056,331.611776,53,6.256825962264151,6.45556917113805,0.0,0.0
4184,660.611448,92,7.180559217391305,6.479443981414731,0.0,0.0
4360,233.155367,40,5.828884175000001,6.47522530781544,0.0,0.0
4408,535.182921,78,6.8613195,6.48836926230262,0.0,0.0
4520,415.063868,62,6.694578516129033,6.490243972941266,0.0,0.0
4520,397.251981,62,6.407290016129032,6.496662094466554,0.0,0.0
4608,481.262188,69,6.974814318840579,6.537649865279759,0.0,0.0
4720,437.95584,67,6.5366543283582095,6.532420954603411,0.0,0.0
4816,685.470487,96,7.1403175729166675,6.566945538515446,0.0,0.0
4856,730.641537,100,7.30641537,6.60663820717062,0.0,0.0
4928,315.849347,51,6.193124450980393,6.57778424468392,0.0,0.0
5008,559.069612,81,6.902093975308642,6.622473361252179,0.0,0.0
5024,524.681568,77,6.8140463376623375,6.633953220285368,0.0,0.0
5096,403.867779,61,6.620783262295082,6.630785288832459,0.0,0.0
5112,499.258547,74,6.746737121621622,6.642557098341059,0.0,0.0
5232,321.438485,52,6.181509326923077,6.591253921442502,0.0,0.0
5512,316.858134,50,6.3371626800000005,6.5837234665229625,0.0,0.0
5560,452.320289,69,6.555366507246377,6.592423882764508,0.0,0.0
5624,445.186754,66,6.7452538484848485,6.597828867498949,0.0,0.0
5632,675.057096,97,6.959351505154639,6.585384743004104,0.0,0.0
5784,983.480162,133,7.394587684210526,6.615983396720212,0.0,0.0
5888,865.880788,120,7.215673233333334,6.650658035362187,0.0,0.0
5888,796.630408,108,7.376207481481481,6.685760520692615,0.0,0.0
6008,404.385555,62,6.522347661290323,6.679973590210374,0.0,0.0
