#{"t_start": 1784834034.9826732, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
690.889127,96,0.219401
519.231745,76,0.383709
374.16812,60,0.508952
531.119718,76,0.671389
565.087339,80,0.844831
376.653013,58,0.976213
302.102523,50,1.091505
479.136696,71,1.251434
346.804064,54,1.371785
653.595698,92,1.615278
654.216752,91,1.82123
455.541882,68,1.975394
879.017001,118,2.234762
509.08546,77,2.803459
278.4068,48,2.913044
536.051766,80,3.101949
389.908334,62,3.244826
413.592579,63,3.379879
430.548055,66,3.527826
562.72278,83,3.729586
483.84049,74,3.901888
862.776547,116,4.179485
542.177567,81,4.36728
352.927398,55,4.494099
509.433005,73,4.658382
420.114987,65,4.805336
308.341515,50,4.917083
478.292865,69,5.468958
329.330565,53,5.588021
454.332331,69,5.74924
415.651547,66,5.892193
354.030913,55,6.01411
367.629195,59,6.153712
559.306075,80,6.332642
569.348122,81,6.511332
585.878724,85,6.695089
452.123552,71,6.85545
453.649534,68,7.004852
922.694825,126,7.290306
524.095697,76,7.458316
853.73177,117,7.721508
489.130523,72,8.287331
632.075077,90,8.492625
581.599305,84,8.676914
1176.867575,158,9.026748
541.295902,78,9.201128
723.077736,101,9.426204
453.671834,67,9.577535
742.809494,102,9.803541
408.385492,65,9.953601
655.92293,95,10.164182
808.676738,111,10.419613
798.064455,109,11.058392
909.815935,126,11.339794
630.998584,89,11.543626
892.559191,122,11.812182
1330.080076,176,12.196963
522.201899,76,12.358554
687.242757,98,12.57385
799.179134,109,12.808606
595.086333,86,12.996682
538.994697,78,13.558879
919.819284,123,13.829671
685.507234,97,14.045731
544.671319,78,14.222999
830.163165,113,14.474196
949.419847,129,14.76108
1044.06614,141,15.069657
717.529231,101,15.300624
557.765844,83,15.480881
777.563568,108,15.726137
879.542464,120,16.390596
801.714264,110,16.628623
792.164586,110,16.874063
620.825106,89,17.074173
800.162685,109,17.315092
511.321784,78,17.485572
844.762515,115,17.741219
942.066888,128,18.028819
923.319842,125,18.309986
822.980015,113,18.952553
949.529138,129,19.235467
947.306733,128,19.515418
765.743288,106,19.749655
929.916573,126,20.028505
1359.134459,179,20.422347
982.073341,132,20.714312
925.602222,125,20.996348
1340.990124,176,21.789042
1097.436511,146,22.117201
1148.459991,152,22.453954
690.511815,96,22.670397
987.670294,134,22.95338
694.614937,97,23.167471
1243.553812,165,23.54524
921.314706,126,24.21734
1253.062792,166,24.585527
722.414434,103,24.81498
1256.238691,166,25.177195
1613.163942,208,25.629124
943.312417,128,25.915214
886.155324,120,26.182079
1101.400638,148,26.921273
709.534669,99,27.144318
1058.249735,143,27.458789
968.91443,132,27.779938
1209.385259,159,28.130667
920.462981,125,28.411028
993.250226,134,28.704138
685.406066,98,28.925294
813.281165,113,29.589742
1217.938844,163,29.952621
945.138074,130,30.244661
687.191389,97,30.461706
1025.921799,137,30.763642
1331.290795,175,31.151309
769.371217,107,31.396519
1078.979303,146,31.721837
1715.295737,224,32.608745
1293.516705,174,32.989148
1121.942886,153,33.332696
1165.086117,155,33.668592
1261.265432,166,34.031353
862.728571,119,34.285756
803.046026,115,34.939003
1583.325541,205,35.398808
1129.228513,152,35.739676
1492.672855,195,36.169966
1101.670533,147,36.497649
869.432627,120,36.760195
1078.526444,148,37.092244
1085.712399,145,37.81703
810.046859,114,38.073941
988.457978,134,38.371335
1106.560108,151,38.703351
1043.55303,142,39.016032
1054.853073,143,39.336205
1083.017476,144,39.663429
1203.918207,164,40.420557
1122.903365,151,40.759359
972.122486,135,41.063051
1071.601933,147,41.392151
1143.802639,155,41.731984
1408.889243,189,42.138388
1240.115305,165,42.899578
1271.541378,172,43.270523
1324.020001,175,43.663634
1243.19611,168,44.038639
1092.387895,151,44.374259
1137.780174,155,44.715004
1045.566448,143,45.031302
1031.446933,141,45.767356
2415.659958,311,46.456114
1257.598254,170,46.822906
1621.119188,214,47.288666
1328.04127,179,47.68369
1448.832946,193,48.513524
1761.62384,232,49.02898
1464.660647,198,49.473821
1417.284827,191,49.92944
1603.919147,212,50.396256
2037.691467,266,51.378727
1768.498168,233,51.889602
1494.303735,202,52.336666
2275.284928,299,52.991412
2143.856361,283,54.029698
1808.171099,242,54.566486
1857.531626,245,55.106003
1740.213396,236,55.634402
2046.334936,272,56.636317
1580.227675,212,57.110189
1567.12707,214,57.589693
