timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
368,280.739128,46,6.103024521739131,6.103024521739131,0.0,0.0
376,298.556182,47,6.352259191489361,6.227641856614246,0.0,0.0
384,276.957465,48,5.769947187500001,6.075076966909498,0.0,0.0
384,284.845786,48,5.934287208333333,6.039879527265457,0.0,0.0
456,360.962128,57,6.332668912280702,6.098437404268506,0.0,0.0
504,417.402132,63,6.6254306666666665,6.186269614668199,0.0,0.0
552,454.80554,69,6.591384637681159,6.244143189384337,0.0,0.0
776,309.315331,51,6.065006490196079,6.221751101985804,0.0,0.0
824,337.568563,55,6.137610236363636,6.2124021169166745,0.0,0.0
864,226.274513,39,5.80191058974359,6.171352964199366,0.0,0.0
872,795.320624,109,7.296519486238532,6.273640829839291,0.0,0.0
960,425.563904,63,6.754982603174603,6.313752644283899,0.0,0.0
992,523.33693,76,6.886012236842106,6.357772612942223,0.0,0.0
1032,450.783177,66,6.8300481363636365,6.391506578900896,0.0,0.0
1112,660.521956,92,7.1795864782608705,6.444045238858227,0.0,0.0
1352,379.478365,61,6.220956803278688,6.430102211634505,0.0,0.0
1392,489.06608,71,6.888254647887324,6.457052354943494,0.0,0.0
1408,325.709331,52,6.263640980769231,6.44630727860048,0.0,0.0
1496,379.036139,58,6.535105844827586,6.450980887349274,0.0,0.0
1504,553.288475,79,7.00365158227848,6.478614422095736,0.0,0.0
1520,465.239943,70,6.6462848999999995,6.486598730567367,0.0,0.0
1536,324.186169,53,6.1167201698113205,6.46978606871482,0.0,0.0
1792,358.452566,55,6.517319381818182,6.471852734501922,0.0,0.0
1832,249.54162,42,5.941467142857142,6.4497533348500555,0.0,0.0
1896,1058.175107,140,7.558393621428571,6.494098946313196,0.0,0.0
1944,309.556941,51,6.069743941176471,6.477777599961784,0.0,0.0
1952,457.243915,68,6.7241752205882355,6.486903437762764,0.0,0.0
1984,367.749881,58,6.340515189655172,6.481675286044635,0.0,0.0
2040,575.862159,81,7.10940937037037,6.503321288952419,0.0,0.0
2224,616.975754,90,6.855286155555556,6.515053451172523,0.0,0.0
