#{"t_start": 1784742608.8975039, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
249.101128,42,0.10976
508.477809,73,0.274901
342.359575,55,0.411596
638.071563,90,0.629881
666.685947,95,0.866585
484.402333,72,1.042671
315.824703,49,1.157068
324.811566,51,1.268798
218.391088,38,1.363352
405.479721,64,1.502044
267.776969,47,1.606375
275.636422,46,1.710171
492.226094,73,1.873225
500.753733,76,2.040752
245.871125,43,2.130681
191.541601,33,2.204419
329.772477,52,2.317432
502.914876,73,3.260544
535.369018,79,3.430731
779.511813,106,3.665921
580.246986,83,3.855786
370.087176,58,3.99533
272.128871,48,4.101116
366.137502,56,4.225999
513.407245,76,4.397661
398.528525,63,4.532806
304.80661,51,4.645475
686.310059,95,4.853917
292.691338,48,4.955338
248.689256,42,5.487188
253.160624,46,5.590243
773.138642,105,5.820234
368.748918,59,6.765644
567.779677,81,6.95334
232.393765,41,7.05547
326.854334,51,7.170976
1162.607176,154,7.517939
1386.200763,184,7.943449
431.0655,66,8.090541
350.645294,55,8.207475
680.145751,98,8.422006
569.038374,83,8.60399
693.768224,98,8.82858
581.918809,81,9.806707
609.956142,87,10.000264
366.149554,56,10.126191
1205.364916,161,10.490907
465.757823,70,10.642073
819.62451,114,10.894307
526.187022,81,11.079964
720.433215,102,11.301264
653.318572,94,12.030958
188.759222,35,12.110923
1123.280249,149,12.442285
334.494969,53,12.559668
623.536874,88,13.565696
816.875341,113,13.818691
381.238219,59,13.947666
1329.188808,177,14.348201
671.987283,96,14.570454
1095.772879,146,14.912355
444.980217,67,15.068747
487.405599,76,15.240864
958.263937,129,15.534805
717.437475,101,16.5589
1237.460887,169,16.924626
847.34717,120,17.19167
713.959875,101,17.412582
1914.938613,246,18.710181
592.690752,86,18.904134
499.970611,72,19.066526
889.125402,121,19.335559
1751.587108,226,20.6253
1614.087259,208,21.072394
878.10689,119,21.326139
1106.203368,147,21.638176
534.073321,79,21.809188
1268.016057,168,22.178858
5331.439353,663,27.931407
419.033063,63,28.063879
4218.845129,524,30.0252
1737.897858,223,30.493512
