#{"t_start": 1784711319.5217066, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
277.242482,46,3.422391
335.753745,52,3.865878
450.491065,66,4.422824
370.988509,60,4.903203
336.633484,54,5.343919
394.389536,61,5.846175
275.472218,48,6.265859
266.421077,44,6.691217
503.305942,72,7.321951
466.809947,68,7.935741
494.437779,72,8.580549
355.385662,57,9.081877
351.190645,55,9.563655
252.35817,44,9.944475
496.283915,71,10.583264
388.961664,60,11.115616
335.8424,53,11.614205
413.137669,66,14.864251
333.647134,55,15.344262
461.133091,69,15.949825
344.564516,54,16.427032
314.748785,50,16.912847
228.991878,42,17.288423
626.610096,89,18.091417
467.720009,70,18.710588
394.155644,62,19.26606
390.053236,59,21.586661
271.243202,45,21.991061
437.197769,67,22.575754
367.513729,59,23.094591
611.594828,88,23.888772
626.54372,88,24.670848
391.865598,62,25.22056
445.185519,69,28.221638
479.488798,70,28.836437
390.722424,61,29.434277
452.863176,71,30.073299
656.170294,93,30.892564
677.484948,94,31.709345
428.696273,64,32.280151
498.59757,73,32.939915
339.974055,54,33.419019
620.041941,88,34.258895
386.132629,62,34.79962
507.900938,75,35.47381
377.97809,58,35.975498
485.702846,72,36.613166
1006.452053,134,42.428554
532.763205,78,43.17733
848.798063,117,44.203023
493.45485,75,44.848703
565.449546,80,45.552238
396.419533,61,46.087002
651.267399,94,46.907147
587.327126,84,47.629881
316.573636,51,48.077629
662.774971,92,48.88113
346.153826,53,49.345312
866.020625,118,50.385754
316.455696,51,52.957034
616.104099,88,53.369703
1128.781021,153,54.057341
1687.53003,219,54.951109
1012.381277,137,56.80489
753.87038,108,57.258798
883.580923,121,57.754049
756.956429,106,58.217498
522.957892,76,58.540005
1214.740638,163,60.603028
1479.037378,194,61.402136
1635.930027,216,62.329171
1126.023069,153,62.986866
963.220954,134,64.094823
1636.421058,217,68.446611
2212.548038,293,76.078931
1152.808632,160,77.447072
1648.571887,215,79.28598
1247.833364,171,80.761737
755.370861,108,81.673092
1673.215634,224,85.940025
4064.625185,534,106.103117
2320.792028,310,111.122349
23277.514827,3001,224.889074
23443.729315,3001,409.945357
23189.393679,3001,585.088059
22767.825998,3001,694.404035
22886.763026,3001,847.234653
22900.274738,3001,983.362866
22997.110656,3001,1128.832154
23007.818983,3001,1272.352871
23052.052968,3001,1421.406628
17555.770374,2295,1502.127496
23145.722187,3001,1647.389803
8196.887156,1085,1714.78172
22900.715544,3001,1856.89274
22731.17002,3001,1975.745551
18496.735697,2423,2050.810367
23149.845737,3001,2167.860528
23045.534049,3001,2287.595548
2076.886807,282,2317.210027
19780.649619,2567,2357.96146
17673.685933,2304,2485.675846
16759.167696,2191,2559.660128
9533.547167,1302,2633.418225
10348.193247,1391,2667.201877
16410.757339,2143,2758.581744
22595.25766,3001,2900.589561
22015.436916,3001,3020.974805
4548.88957,606,3025.755146
12613.231954,1671,3066.149483
22865.660555,3001,3146.76936
22743.24616,3001,3249.818612
22752.308799,3001,3335.478817
22862.255248,3001,3442.373322
9130.142303,1217,3485.026886
22731.192753,3001,3569.031152
12533.491763,1662,3625.172191
6553.284657,863,3630.033985
22827.801912,3001,3760.362995
22598.757937,3001,3857.243998
23129.594079,3001,4033.377973
5224.719907,691,4074.063771
10501.903638,1411,4127.55068
5523.230577,734,4134.653282
