timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
720,274.814404,45,6.106986755555556,6.106986755555556,0.0,0.0
736,277.242482,46,6.02701047826087,6.066998616908213,0.0,0.0
752,286.831013,47,6.102787510638297,6.078928248151574,0.0,0.0
832,320.42045,52,6.161931730769231,6.099679118805989,0.0,0.0
896,368.673593,56,6.5834570178571425,6.19643469861622,0.0,0.0
928,377.396232,58,6.506831586206896,6.248167513214665,0.0,0.0
992,406.395381,62,6.554764209677419,6.291967041280772,0.0,0.0
1104,444.303884,69,6.439186724637681,6.310369501700387,0.0,0.0
1136,486.215114,71,6.848100197183099,6.3701173567540215,0.0,0.0
1136,467.104964,71,6.578943154929577,6.390999936571577,0.0,0.0
1216,523.076265,76,6.882582434210526,6.4356892545387545,0.0,0.0
1232,507.384956,77,6.589415012987013,6.448499734409443,0.0,0.0
1248,539.171484,78,6.912454923076923,6.484188595076172,0.0,0.0
1296,577.649948,81,7.131480839506173,6.5304237553926,0.0,0.0
1312,579.731497,82,7.069896304878049,6.566388592024963,0.0,0.0
1520,218.596891,37,5.908024081081081,6.5252408100909705,0.0,0.0
1568,335.753745,52,6.456802788461538,6.521215044112769,0.0,0.0
1616,718.199374,101,7.11088489108911,6.553974480055899,0.0,0.0
1760,416.947452,63,6.618213523809524,6.557355482358722,0.0,0.0
1840,316.46338,53,5.97100716981132,6.5280380667313525,0.0,0.0
1872,291.510481,46,6.337184369565218,6.518949795437727,0.0,0.0
1936,470.44684,69,6.818070144927536,6.5325461749599905,0.0,0.0
1968,538.289671,78,6.901149628205128,6.548572412057606,0.0,0.0
2032,386.315779,58,6.6606168793103455,6.55324093152647,0.0,0.0
2128,373.954093,57,6.560598122807018,6.553535219177692,0.0,0.0
2176,236.203296,41,5.761056,6.523055249209319,0.0,0.0
2240,392.521664,59,6.652909559322033,6.527864668102382,0.0,0.0
2256,426.281709,64,6.660651703125,6.532607062210333,0.0,0.0
