trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
0,190.6212109560834,"{""ent_coef"": 0.002, ""learning_rate"": 0.0003, ""target_kl_code"": 1}",runs\search_ppo_t0000_20260722_175136,0,0,1,2026-07-22T15:52:28+00:00
1,162.11065652184934,"{""ent_coef"": 0.015403596595019236, ""learning_rate"": 0.00018272261776066238, ""target_kl_code"": 0}",runs\search_ppo_t0001_20260722_175228,0,0,0,2026-07-22T15:53:13+00:00
2,122.55355622255428,"{""ent_coef"": 0.009842315738502597, ""learning_rate"": 0.00010979908036596662, ""target_kl_code"": 3}",runs\search_ppo_t0002_20260722_175313,0,0,0,2026-07-22T15:53:52+00:00
3,162.5787201626304,"{""ent_coef"": 0.0003080340052983973, ""learning_rate"": 0.0003818145165896873, ""target_kl_code"": 3}",runs\search_ppo_t0003_20260722_175352,0,0,0,2026-07-22T15:54:40+00:00
4,190.7252471290979,"{""ent_coef"": 0.0004678719265016201, ""learning_rate"": 0.0002004087187654155, ""target_kl_code"": 0}",runs\search_ppo_t0004_20260722_175440,0,0,0,2026-07-22T15:55:23+00:00
5,147.88784087265313,"{""ent_coef"": 0.006407866261851014, ""learning_rate"": 0.000208343156115295, ""target_kl_code"": 2}",runs\search_ppo_t0005_20260722_175523,0,0,0,2026-07-22T15:56:04+00:00
6,189.55491242613968,"{""ent_coef"": 0.0002468204407989016, ""learning_rate"": 0.0002658616083788976, ""target_kl_code"": 2}",runs\search_ppo_t0006_20260722_175604,0,0,0,2026-07-22T15:57:01+00:00
7,185.23650259411397,"{""ent_coef"": 0.00016778242384077926, ""learning_rate"": 0.00016327356954687938, ""target_kl_code"": 0}",runs\search_ppo_t0007_20260722_175701,0,0,0,2026-07-22T15:57:47+00:00
8,118.87063064639557,"{""ent_coef"": 0.01237010884029901, ""learning_rate"": 0.00010569064414047033, ""target_kl_code"": 1}",runs\search_ppo_t0008_20260722_175747,0,0,0,2026-07-22T15:58:28+00:00
9,190.71535172251734,"{""ent_coef"": 0.00026629048398290434, ""learning_rate"": 0.00024106495902171608, ""target_kl_code"": 0}",runs\search_ppo_t0009_20260722_175828,0,0,0,2026-07-22T15:59:55+00:00
10,67.3822791385599,"{""ent_coef"": 0.0010947987192266868, ""learning_rate"": 0.0004577434034785652, ""target_kl_code"": 0}",runs\search_ppo_t0010_20260722_175955,0,0,0,2026-07-22T16:00:57+00:00
11,190.6619742082336,"{""ent_coef"": 0.0007190919239249338, ""learning_rate"": 0.00014944473476269078, ""target_kl_code"": 0}",runs\search_ppo_t0011_20260722_180058,0,0,0,2026-07-22T16:01:38+00:00
12,32.8568150216197,"{""ent_coef"": 0.00011051627186796603, ""learning_rate"": 0.0002658128505107033, ""target_kl_code"": 0}",runs\search_ppo_t0012_20260722_180138,0,0,0,2026-07-22T16:02:15+00:00
13,26.183022551971163,"{""ent_coef"": 0.0005079789244657123, ""learning_rate"": 0.0002205682238699671, ""target_kl_code"": 0}",runs\search_ppo_t0013_20260722_180215,0,0,0,2026-07-22T16:02:50+00:00
14,188.47253164541826,"{""ent_coef"": 0.0017079985511440528, ""learning_rate"": 0.00013629667911235847, ""target_kl_code"": 0}",runs\search_ppo_t0014_20260722_180250,0,0,0,2026-07-22T16:03:29+00:00
15,112.45352526728955,"{""ent_coef"": 0.0035995125337195716, ""learning_rate"": 0.0003307147683077293, ""target_kl_code"": 0}",runs\search_ppo_t0015_20260722_180329,0,0,0,2026-07-22T16:04:06+00:00
16,154.31626537703005,"{""ent_coef"": 0.0004506957591013754, ""learning_rate"": 0.000193642998470932, ""target_kl_code"": 2}",runs\search_ppo_t0016_20260722_180406,0,0,0,2026-07-22T16:04:45+00:00
