trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
0,nan,"{""clip_range"": 0.2, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 10}",,0,1,1,2026-07-23T08:57:33+00:00
2,221.47035715827738,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0002_20260723_162637,0,0,0,2026-07-23T14:40:41+00:00
3,222.21894230266233,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""linear"", ""n_epochs"": 10}",runs\search_ppo_long_t0003_20260723_164041,0,0,0,2026-07-23T14:56:31+00:00
4,215.30509565517693,"{""clip_range"": 0.2, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.9, ""lr_schedule"": ""linear"", ""n_epochs"": 10}",runs\search_ppo_long_t0004_20260723_165631,0,0,0,2026-07-23T15:21:36+00:00
5,212.95995608783377,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.4, ""lr_schedule"": ""linear"", ""n_epochs"": 8}",runs\search_ppo_long_t0005_20260723_172137,1,0,0,2026-07-23T15:35:30+00:00
6,194.62180428480698,"{""clip_range"": 0.15, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0006_20260723_173531,1,0,0,2026-07-23T15:49:22+00:00
7,218.00759019019793,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""linear"", ""n_epochs"": 5}",runs\search_ppo_long_t0007_20260723_174922,1,0,0,2026-07-23T15:55:44+00:00
8,220.7452603012706,"{""clip_range"": 0.15, ""dr_curriculum_fraction"": 0.35, ""log_std_init"": -0.4, ""lr_schedule"": ""linear"", ""n_epochs"": 10}",runs\search_ppo_long_t0008_20260723_175544,1,0,0,2026-07-23T16:06:57+00:00
9,221.55206120293184,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.35, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0009_20260723_180658,1,0,0,2026-07-23T16:10:39+00:00
10,209.53503792880272,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 5}",runs\search_ppo_long_t0010_20260723_181039,1,0,0,2026-07-23T16:13:43+00:00
