time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
0.05,-0.0525358,-1.3768657,3.0111253,-2.8498225,-150.0,1,0.0,-1.0,-75.717575
0.1,-0.1984685,-3.2242908,2.845076,-3.8053686,-150.0,1,0.0,-1.0,-73.6085205
0.15,-0.4027743,-4.0934534,2.6360321,-4.532257,-150.0,1,0.0,-1.0,-65.7088088
0.2,-0.6537786,-4.9404826,2.4625699,-3.2460641,-150.0,1,0.0,-1.0,-43.7740173
0.25,-0.9398067,-5.8664479,2.3454456,-2.6455056,-150.0,1,0.0,-1.0,-31.6469612
0.3,-1.249184,-6.2291188,2.3276548,0.0218335,-150.0,1,0.0,-1.0,-9.0559396
0.35000000000000003,-1.5585613,-5.3749361,2.3973362,2.3321249,150.0,1,0.0,0.9979442,3.4396128
0.4,-1.8270774,-5.0423502,2.6034152,5.6723532,150.0,1,0.0,1.0,23.0033149
0.45,-1.9379863,-1.5417795,-3.0653173,14.1022777,150.0,1,0.0,1.0,22.2454681
0.5,-1.8387521,1.1731467,-2.3375229,13.9302539,150.0,1,0.0,1.0,15.7324943
0.55,-1.8329148,0.4125256,-1.7495667,10.8729248,150.0,1,0.0,1.0,25.1195125
0.6,-1.762867,1.7490676,-1.4285745,-0.8956968,150.0,1,0.0,1.0,41.5575904
0.65,-1.6694702,2.038088,-1.4253964,0.2622844,150.0,1,0.0,1.0,32.756813
0.7000000000000001,-1.4710016,3.9540779,-1.5684127,-4.5443587,150.0,1,0.0,1.0,24.0464229
0.75,-1.2375093,4.5293264,-1.8957613,-8.5209207,150.0,1,0.0,1.0,9.7990427
0.8,-1.0448781,4.3136243,-2.5059645,-12.6412696,-150.0,1,0.0,-1.0,-18.777275
0.85,-1.0390409,-0.0290875,2.8154247,-19.5665302,-150.0,1,0.0,-1.0,-51.2781829
0.9,-1.0448781,0.1333815,1.9555265,-16.7545013,-150.0,1,0.0,-1.0,-19.6058101
0.9500000000000001,-0.9865051,1.3630547,1.3017076,-12.1922531,146.0,1,0.0,0.9732976,2.1513533
1.0,-1.0040169,-0.6292528,0.8169031,-8.9027261,-150.0,1,0.0,-0.9999179,-5.0503234
1.05,-1.0098543,0.6426449,0.5945157,-3.7298429,150.0,1,0.0,0.9990015,3.8009796
1.1,-1.079902,0.6138772,0.4106754,-3.7024381,95.0,1,0.0,0.6307755,0.742703
1.1500000000000001,-1.1441124,-0.1600433,0.2935514,-2.3683485,122.0,2,0.7507145,0.8111646,1.1304247
1.2,-0.9923424,2.4226341,0.2179397,-1.8239512,101.0,2,0.9657362,0.6724369,0.8151782
1.25,-0.8230605,3.3290019,0.1052634,-2.0052101,16.0,3,0.9952905,0.1091752,0.1096121
1.3,-0.7530128,1.7400259,0.0044477,-1.1624078,-145.0,3,0.9993526,-0.965684,-2.023992
1.35,-0.682965,0.6294413,0.0266865,0.3408059,147.0,3,0.9999111,0.9830427,2.3808436
1.4000000000000001,-0.6479413,1.0974466,-0.0079454,-0.1839527,106.0,3,0.9999878,0.7090405,0.8852516
1.45,-0.5720562,1.7246922,-0.0174798,-0.5871156,36.0,3,0.9999983,0.2403204,0.2451141
1.5,-0.4844966,0.4924342,-0.0715082,0.0867913,-111.0,3,0.9999998,-0.7385539,-0.9472903
1.55,-0.4144489,1.1188157,-0.022247,-0.1705276,104.0,3,0.9999999,0.6955335,0.858596
1.6,-0.3677504,1.0862461,-0.0556175,-0.4909154,-135.0,3,0.9999999,-0.9032466,-1.4895756
1.6500000000000001,-0.3093774,0.2584073,-0.090577,0.1070514,-139.0,3,0.9999999,-0.927497,-1.6401743
1.7,-0.2743535,0.7353171,-0.046083,0.1789513,80.0,3,0.9999999,0.5360112,0.5985419
1.75,-0.2977027,-1.150312,-0.0524393,1.0456795,65.0,3,0.9999999,0.4351314,0.4662093
1.8,-0.3910997,-0.6505851,-0.0111235,0.0192839,-139.0,3,0.9999999,-0.9247472,-1.6208481
1.85,-0.4202862,-0.4795916,0.0074129,-0.0897097,-120.0,3,0.9999999,-0.7974676,-1.0916171
1.9000000000000001,-0.396937,-0.392939,0.0148258,-0.0354362,-41.0,3,0.9999999,-0.2753549,-0.2826488
1.95,-0.4611474,0.504728,0.0029652,-0.8536259,-147.0,3,0.9999999,-0.9786096,-2.2636034
2.0,-0.4377981,-0.2144705,-0.0301923,-0.3177402,-146.0,3,0.9999999,-0.9730035,-2.1458039
2.05,-0.4027743,-1.0779966,0.0044477,0.6907523,137.0,3,0.9999999,0.9103723,1.5296945
2.1,-0.5253577,-0.747149,0.0340994,0.1529359,20.0,3,0.9999999,0.1361896,0.1370411
2.15,-0.5253577,-0.1337584,0.0340994,0.3210562,148.0,3,0.9999999,0.984582,2.4288144
2.2,-0.6771278,-1.3180888,0.0074129,0.6791007,81.0,3,0.9999999,0.537543,0.6006937
2.25,-0.700477,-1.2599276,0.0370646,0.3674008,22.0,3,0.9999999,0.1443428,0.145358
2.3000000000000003,-0.7646874,-1.3334592,0.0667162,0.4843584,128.0,3,0.9999999,0.8547691,1.2735954
2.35,-0.7355008,-0.0123122,0.0578207,0.0818284,146.0,3,0.9999999,0.9734293,2.15386
2.4,-0.7179889,1.8693258,0.0578207,-1.1157455,69.0,3,0.9999999,0.4585801,0.4955118
2.45,-0.5895681,1.8824982,0.0029652,-1.0493422,-95.0,3,0.9999999,-0.6324859,-0.7455488
2.5,-0.5311951,1.6498544,-0.0365486,-0.9731756,-144.0,3,0.9999999,-0.959354,-1.9377337
2.5500000000000003,-0.5778935,-1.7974819,-0.0556175,1.4035315,-24.0,3,0.9999999,-0.1571574,-0.1584707
2.6,-0.6771278,-1.5586594,0.0074129,0.6819836,21.0,3,0.9999999,0.1422942,0.1432664
