time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,observer_blend,action_norm,policy_raw
0.0,-0.6079787580790981,0.0,2.9366053585576486,0.0,149.99982871002837,1,0.0,0.9999988580668558,7.187967300415039
0.005,-0.6034265051293823,0.07775573679595915,2.943974742031104,0.1259249538716034,149.9997785405711,1,0.0,0.9999985236038074,7.059526443481445
0.01,-0.5960358196403757,0.28592945008275583,2.955924820392551,0.4629128890764722,149.99984364181194,1,0.0,0.9999989576120796,7.233571529388428
0.015,-0.5859545560764983,0.5839813620124118,2.9721923257978915,0.9446885848796938,149.99991663049906,1,0.0,0.999999444203327,7.548005104064941
0.02,-0.5733244508002964,0.9420491997031787,2.992514600908782,1.5218917089268063,149.99994483938758,1,0.0,0.9999996322625839,7.75452184677124
0.025,-0.5582857755061322,1.3380421635874677,3.0166235448130863,2.1575325372396392,149.9999311060261,1,0.0,0.9999995407068408,7.643362045288086
0.03,-0.5409816347045858,1.7554653873988133,3.044240207939838,2.823596598144933,149.999873953292,1,0.0,0.9999991596886133,7.341320037841797
0.035,-0.5215615896535216,2.1818060806264414,3.075070499386281,3.4985306049462905,149.9997736098743,1,0.0,0.9999984907324954,7.048516273498535
0.04,-0.5001842528551349,2.6073568130230527,3.108802531660862,4.165412526031862,149.99960877644833,1,0.0,0.9999973918429887,6.775006294250488
0.045,-0.47701850109263216,3.0243844496866252,-3.138079188897775,4.810661008252941,149.99939693249698,1,0.0,0.9999959795499798,6.55863094329834
0.05,-0.4522430376278819,3.4265759253900976,-3.0995505058110933,5.423175087237173,149.99912331061492,1,0.0,0.9999941554040995,6.37156867980957
0.055,-0.42604421070121634,3.8087051172800797,-3.059154810396954,5.9938154697619686,149.99884394692327,1,0.0,0.9999922929794884,6.2332611083984375
0.06,-0.39861225007744666,4.166470184293347,-3.0172548743798444,6.515146373028443,149.9986049336911,1,0.0,0.9999906995579407,6.13929557800293
0.065,-0.37013636019471763,4.496450669408503,-2.9742096868952532,6.981356580626808,149.99827924108385,1,0.0,0.9999885282738924,6.034383296966553
0.07,-0.34079931491519627,4.796132496192832,-2.9303655266888846,7.388276809699665,149.99795053742815,1,0.0,0.9999863369161877,5.946976661682129
0.075,-0.3107722790853258,5.063951636120694,-2.886047743820842,7.733415617593179,149.99730551904344,1,0.0,0.999982036793623,5.810161590576172
0.08,-0.2802104910306556,5.299315518584053,-2.841554228901039,8.015950856597023,149.9964507631694,1,0.0,0.9999763384211294,5.672396659851074
0.085,-0.24925022459223228,5.502576041671541,-2.7971511616933964,8.236638888437913,149.99540630517672,1,0.0,0.9999693753678447,5.543418884277344
0.09,-0.21800718763292753,5.674945353174816,-2.753071184755319,8.397632526710561,149.99419374684038,1,0.0,0.9999612916456025,5.426291465759277
0.095,-0.18657626646220252,5.818360862846355,-2.7095137476280335,8.502223241936797,149.99285966216001,1,0.0,0.9999523977477335,5.322876930236816
